"Exp","HMI","VPNr","Hoff_n_warnings","Hoff_n_warnings_s1","Hoff_n_warnings_s2","Hoff_n_warnings_s3","Hoff_WarningDuration_mean","Hoff_WarningDuration_1","Hoff_WarningDuration_2","Hoff_WarningDuration_3","Hoff_WarningDuration_4","Hoff_WarningDuration_5","Hoff_WarningDuration_6","Hoff_WarningDuration_7","Hoff_WarningDuration_8","Hoff_WarningDuration_9"
1,"HC",1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"HC",2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"HC",3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"HC",4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"HC",5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"HC",6,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"HC",7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"HC",8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"HC",9,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"HC",10,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"HC",11,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"HC",12,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"HC",13,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"HC",14,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"HC",15,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"HC",16,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"HC",17,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"HC",18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"HC",19,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"HC",20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"HC",21,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"HC",22,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"HC",23,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"HC",24,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"HC",25,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"HC",26,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"LC",51,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"LC",52,1,1,0,0,1.48333000000007,1.48333000000007,NA,NA,NA,NA,NA,NA,NA,NA
1,"LC",53,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"LC",54,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"LC",55,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"LC",56,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"LC",57,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"LC",58,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"LC",59,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"LC",60,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"LC",61,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"LC",62,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"LC",63,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"LC",65,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"LC",66,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"LC",67,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"LC",68,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"LC",69,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"LC",70,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"LC",71,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"LC",72,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"LC",73,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"LC",74,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"LC",75,1,0,1,0,7.68332999999984,7.68332999999984,NA,NA,NA,NA,NA,NA,NA,NA
1,"LC",76,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"LC",77,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"HC",4,1,1,0,0,2.39999999999997,2.39999999999997,NA,NA,NA,NA,NA,NA,NA,NA
2,"HC",5,1,1,0,0,3.59999999999997,3.59999999999997,NA,NA,NA,NA,NA,NA,NA,NA
2,"HC",6,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"HC",7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"HC",8,9,8,1,0,3.9444444444444176,3.09999999999997,3.49999999999997,2.79999999999997,2.79999999999997,2.79999999999997,5.19999999999996,9.70000000000001,2.99999999999997,2.59999999999997
2,"HC",9,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"HC",10,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"HC",11,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"HC",13,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"HC",14,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"HC",15,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"HC",16,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"HC",17,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"HC",18,3,3,0,0,3.499999999999973,6.79999999999997,0.299999999999979,3.39999999999997,NA,NA,NA,NA,NA,NA
2,"HC",19,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"HC",20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"HC",21,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"HC",23,1,1,0,0,1.69999999999997,1.69999999999997,NA,NA,NA,NA,NA,NA,NA,NA
2,"HC",24,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"HC",25,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"HC",26,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"HC",27,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"HC",28,3,3,0,0,3.266666666666637,3.29999999999997,3.19999999999997,3.29999999999997,NA,NA,NA,NA,NA,NA
2,"HC",29,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"HC",30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"HC",31,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"HC",32,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"HC",33,1,1,0,0,2.59999999999997,2.59999999999997,NA,NA,NA,NA,NA,NA,NA,NA
2,"HC",34,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"HC",35,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"HC",36,2,1,1,0,7.099999999999985,10.5,3.69999999999997,NA,NA,NA,NA,NA,NA,NA
2,"HC",37,1,1,0,0,2.09999999999997,2.09999999999997,NA,NA,NA,NA,NA,NA,NA,NA
2,"HC",38,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"LC",53,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"LC",54,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"LC",56,5,4,0,1,5.2399999999999975,18.0000000000001,0.299999999999979,2.99999999999997,2.29999999999997,2.59999999999997,NA,NA,NA,NA
2,"LC",57,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"LC",58,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"LC",59,1,1,0,0,2.89999999999997,2.89999999999997,NA,NA,NA,NA,NA,NA,NA,NA
2,"LC",60,9,8,1,0,3.322222222222192,7.39999999999998,2.79999999999997,2.39999999999997,2.09999999999997,3.29999999999997,4.39999999999996,2.49999999999997,2.39999999999997,2.59999999999997
2,"LC",61,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"LC",62,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"LC",63,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"LC",64,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"LC",65,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"LC",66,1,1,0,0,2.89999999999997,2.89999999999997,NA,NA,NA,NA,NA,NA,NA,NA
2,"LC",67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"LC",69,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"LC",70,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"LC",71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"LC",72,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"LC",73,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"LC",74,1,1,0,0,1.49999999999998,1.49999999999998,NA,NA,NA,NA,NA,NA,NA,NA
2,"LC",75,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"LC",76,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"LC",77,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"LC",78,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"LC",79,2,0,1,1,12.25000000000004,16.9000000000001,7.59999999999998,NA,NA,NA,NA,NA,NA,NA
2,"LC",80,2,0,0,2,17.150000000000098,17.3000000000001,17.0000000000001,NA,NA,NA,NA,NA,NA,NA
2,"LC",81,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"LC",82,1,0,0,1,18.8000000000001,18.8000000000001,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",4,1,1,0,0,2.79999999999997,2.79999999999997,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",6,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",9,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",10,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",11,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",12,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",13,1,1,0,0,5.29999999999996,5.29999999999996,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",14,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",15,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",16,1,1,0,0,3.19999999999997,3.19999999999997,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",17,1,1,0,0,1.89999999999997,1.89999999999997,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",19,2,1,1,0,7.549999999999985,9.40000000000001,5.69999999999996,NA,NA,NA,NA,NA,NA,NA
3,"HC",20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",21,2,2,0,0,2.39999999999997,2.59999999999997,2.19999999999997,NA,NA,NA,NA,NA,NA,NA
3,"LC",51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"LC",52,1,1,0,0,1.99999999999997,1.99999999999997,NA,NA,NA,NA,NA,NA,NA,NA
3,"LC",53,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"LC",54,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"LC",55,6,2,2,2,9.933333333333355,4.39999999999996,10,9.2,17.4000000000001,1.89999999999997,16.7000000000001,NA,NA,NA
3,"LC",56,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"LC",57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"LC",58,3,3,0,0,4.233333333333303,2.89999999999997,6.79999999999997,2.99999999999997,NA,NA,NA,NA,NA,NA
3,"LC",59,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"LC",60,4,2,2,0,6.849999999999985,5.89999999999996,10,9.60000000000001,1.89999999999997,NA,NA,NA,NA,NA
3,"LC",61,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"LC",62,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"LC",63,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"LC",64,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"LC",65,2,2,0,0,2.74999999999997,2.69999999999997,2.79999999999997,NA,NA,NA,NA,NA,NA,NA
3,"LC",66,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"LC",67,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"LC",68,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"LC",69,2,1,0,1,11.500000000000036,19.0000000000001,3.99999999999997,NA,NA,NA,NA,NA,NA,NA
3,"LC",70,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"LC",71,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
