"Exp","HMI","VPNr","TC10_Aut_Lvl_Sta","TC10_Aut_Lvl_End","TC10_Aut_Lvl_Notification","TC10_TimeToFirstAction","TC10_TimeToL0","TC10_Action_1","TC10_Action_2","TC10_Action_3","TC10_Action_4","TC10_Action_5","TC10_Action_6","TC10_Action_7","TC10_TimeToAction_1","TC10_TimeToAction_2","TC10_TimeToAction_3","TC10_TimeToAction_4","TC10_TimeToAction_5","TC10_TimeToAction_6","TC10_TimeToAction_7","TC12_Aut_Lvl_Sta","TC12_Aut_Lvl_End","TC12_Aut_Lvl_Notification","TC12_TimeToFirstAction","TC12_TimeToL0","TC12_Action_1","TC12_Action_2","TC12_Action_3","TC12_Action_4","TC12_TimeToAction_1","TC12_TimeToAction_2","TC12_TimeToAction_3","TC12_TimeToAction_4"
2,"HC",5,3,0,3,21.7,21.9,3,NA,NA,NA,NA,NA,NA,21.7,NA,NA,NA,NA,NA,NA,3,0,3,1.6,1.7,3,NA,NA,NA,1.6,NA,NA,NA
2,"HC",6,3,0,3,6.9,21.4,2,2,3,NA,NA,NA,NA,6.9,8,21.1,NA,NA,NA,NA,3,0,3,3.2,3.7,3,NA,NA,NA,3.2,NA,NA,NA
2,"HC",7,3,0,3,8.2,8.4,1,3,NA,NA,NA,NA,NA,8.2,9.4,NA,NA,NA,NA,NA,3,0,3,1.5,1.7,3,NA,NA,NA,1.5,NA,NA,NA
2,"HC",8,3,0,3,17.4,17.5,1,NA,NA,NA,NA,NA,NA,17.4,NA,NA,NA,NA,NA,NA,3,0,3,5.7,5.8,1,NA,NA,NA,5.7,NA,NA,NA
2,"HC",9,3,0,3,6.6,7.5,3,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,3,0,3,2.3,2.6,3,NA,NA,NA,2.3,NA,NA,NA
2,"HC",10,3,0,3,6.6,6.9,3,1,1,NA,NA,NA,NA,6.6,8,9.8,NA,NA,NA,NA,3,0,3,5,5.1,1,3,NA,NA,5,5.7,NA,NA
2,"HC",11,3,0,3,11.4,11.6,3,NA,NA,NA,NA,NA,NA,11.4,NA,NA,NA,NA,NA,NA,3,0,3,4.2,4.4,3,NA,NA,NA,4.2,NA,NA,NA
2,"HC",13,3,0,3,14.2,14.5,3,NA,NA,NA,NA,NA,NA,14.2,NA,NA,NA,NA,NA,NA,3,0,3,3.9,4,3,NA,NA,NA,3.9,NA,NA,NA
2,"HC",14,3,0,3,25.1,25.3,3,NA,NA,NA,NA,NA,NA,25.1,NA,NA,NA,NA,NA,NA,3,0,3,3.4,3.6,3,NA,NA,NA,3.4,NA,NA,NA
2,"HC",15,3,0,3,13.7,14.3,3,NA,NA,NA,NA,NA,NA,13.7,NA,NA,NA,NA,NA,NA,3,0,3,1.8,2.2,3,NA,NA,NA,1.8,NA,NA,NA
2,"HC",16,3,0,3,9.7,10.1,3,3,NA,NA,NA,NA,NA,9.7,10.5,NA,NA,NA,NA,NA,3,0,3,1.4,1.6,3,NA,NA,NA,1.4,NA,NA,NA
2,"HC",17,3,0,3,7.7,10.1,2,2,1,NA,NA,NA,NA,7.7,9.1,9.9,NA,NA,NA,NA,3,0,3,1.8,2.1,3,NA,NA,NA,1.8,NA,NA,NA
2,"HC",18,3,0,3,15.5,15.7,3,NA,NA,NA,NA,NA,NA,15.5,NA,NA,NA,NA,NA,NA,3,0,3,2.1,2.2,3,NA,NA,NA,2.1,NA,NA,NA
2,"HC",19,3,0,3,16,16.2,1,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,3,0,3,7.4,7.6,3,NA,NA,NA,7.4,NA,NA,NA
2,"HC",20,3,0,3,7.2,7.4,1,NA,NA,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,3,0,3,3.9,4,1,NA,NA,NA,3.9,NA,NA,NA
2,"HC",21,3,0,3,7.7,8,3,NA,NA,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,3,0,3,1.4,1.5,3,NA,NA,NA,1.4,NA,NA,NA
2,"HC",23,3,0,3,10.9,17.1,2,2,2,1,NA,NA,NA,10.9,12.3,13.8,17,NA,NA,NA,3,0,3,2.3,2.5,3,1,1,NA,2.3,2.9,4,NA
2,"HC",24,3,0,3,23.1,23.3,1,NA,NA,NA,NA,NA,NA,23.1,NA,NA,NA,NA,NA,NA,3,0,3,4.9,5,1,NA,NA,NA,4.9,NA,NA,NA
2,"HC",25,3,0,3,3.5,3.7,1,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,3,0,3,1.1,1.5,3,3,NA,NA,1.1,1.7,NA,NA
2,"HC",26,3,0,3,13.9,14,3,NA,NA,NA,NA,NA,NA,13.9,NA,NA,NA,NA,NA,NA,3,0,3,1.8,2,3,NA,NA,NA,1.8,NA,NA,NA
2,"HC",27,3,0,3,14.6,14.8,3,NA,NA,NA,NA,NA,NA,14.6,NA,NA,NA,NA,NA,NA,3,0,3,4.4,4.7,3,NA,NA,NA,4.4,NA,NA,NA
2,"HC",28,3,0,3,12.6,12.7,3,NA,NA,NA,NA,NA,NA,12.6,NA,NA,NA,NA,NA,NA,3,0,3,4.4,4.6,3,NA,NA,NA,4.4,NA,NA,NA
2,"HC",29,3,0,3,5.8,9.3,2,2,2,1,NA,NA,NA,5.8,6.5,7.7,9.1,NA,NA,NA,3,0,3,4.2,4.3,1,NA,NA,NA,4.2,NA,NA,NA
2,"HC",30,3,0,3,4.5,4.6,1,3,NA,NA,NA,NA,NA,4.5,4.9,NA,NA,NA,NA,NA,3,0,3,4,4.2,1,NA,NA,NA,4,NA,NA,NA
2,"HC",31,3,0,3,10.5,10.7,3,NA,NA,NA,NA,NA,NA,10.5,NA,NA,NA,NA,NA,NA,3,0,3,10,10.1,3,NA,NA,NA,10,NA,NA,NA
2,"HC",32,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,4.2,4.3,3,NA,NA,NA,4.2,NA,NA,NA
2,"HC",33,3,0,3,7.6,7.8,1,NA,NA,NA,NA,NA,NA,7.6,NA,NA,NA,NA,NA,NA,3,0,3,1.3,1.4,3,NA,NA,NA,1.3,NA,NA,NA
2,"HC",34,3,0,3,8.8,12.8,2,2,2,1,NA,NA,NA,8.8,9.7,11,12.7,NA,NA,NA,3,0,3,2.8,2.9,1,NA,NA,NA,2.8,NA,NA,NA
2,"HC",35,3,0,3,11.9,12.1,3,NA,NA,NA,NA,NA,NA,11.9,NA,NA,NA,NA,NA,NA,3,0,3,1.7,1.9,3,NA,NA,NA,1.7,NA,NA,NA
2,"HC",36,3,0,3,5.6,6.1,3,NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA,NA,3,0,3,2.2,2.3,3,NA,NA,NA,2.2,NA,NA,NA
2,"HC",37,3,0,3,11.2,11.3,3,NA,NA,NA,NA,NA,NA,11.2,NA,NA,NA,NA,NA,NA,3,0,3,1.5,1.6,3,NA,NA,NA,1.5,NA,NA,NA
2,"HC",38,3,0,3,5.5,6.9,2,2,1,NA,NA,NA,NA,5.5,6.1,6.8,NA,NA,NA,NA,3,0,3,5.2,5.4,1,NA,NA,NA,5.2,NA,NA,NA
2,"LC",53,3,0,3,9.4,9.6,3,NA,NA,NA,NA,NA,NA,9.4,NA,NA,NA,NA,NA,NA,3,0,3,4,4.2,3,NA,NA,NA,4,NA,NA,NA
2,"LC",54,3,0,3,11,13.7,2,2,1,3,NA,NA,NA,11,12.2,13.6,14.5,NA,NA,NA,3,0,3,2.7,3.7,2,3,NA,NA,2.7,3.6,NA,NA
2,"LC",56,3,0,3,8.5,8.8,3,NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,3,0,3,1.8,2,3,NA,NA,NA,1.8,NA,NA,NA
2,"LC",57,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"LC",58,3,0,3,25,25.3,3,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"LC",59,3,0,3,9.2,9.4,3,NA,NA,NA,NA,NA,NA,9.2,NA,NA,NA,NA,NA,NA,3,0,3,4.8,4.9,1,NA,NA,NA,4.8,NA,NA,NA
2,"LC",60,3,0,3,27.6,27.8,3,NA,NA,NA,NA,NA,NA,27.6,NA,NA,NA,NA,NA,NA,3,0,3,9.2,9.4,3,NA,NA,NA,9.2,NA,NA,NA
2,"LC",61,3,0,3,5.6,5.7,3,1,NA,NA,NA,NA,NA,5.6,6.5,NA,NA,NA,NA,NA,3,0,3,4.1,4.2,1,NA,NA,NA,4.1,NA,NA,NA
2,"LC",62,3,0,3,24.9,25.2,3,3,NA,NA,NA,NA,NA,24.9,25.5,NA,NA,NA,NA,NA,3,0,3,7.7,7.9,3,NA,NA,NA,7.7,NA,NA,NA
2,"LC",63,3,0,3,31.6,31.8,1,NA,NA,NA,NA,NA,NA,31.6,NA,NA,NA,NA,NA,NA,3,0,3,16.6,16.8,1,NA,NA,NA,16.6,NA,NA,NA
2,"LC",64,3,0,3,28,28.2,3,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,3,0,3,7.3,7.6,3,NA,NA,NA,7.3,NA,NA,NA
2,"LC",65,3,0,3,21.3,21.6,3,NA,NA,NA,NA,NA,NA,21.3,NA,NA,NA,NA,NA,NA,3,0,3,7.1,7.4,3,3,3,NA,7.1,11,13.2,NA
2,"LC",66,3,0,3,28.7,28.8,1,3,3,NA,NA,NA,NA,28.7,31.3,32.8,NA,NA,NA,NA,3,0,3,5.9,6.1,1,NA,NA,NA,5.9,NA,NA,NA
2,"LC",67,2,0,3,21.2,21.5,3,NA,NA,NA,NA,NA,NA,21.2,NA,NA,NA,NA,NA,NA,3,0,3,7.9,8.1,3,NA,NA,NA,7.9,NA,NA,NA
2,"LC",69,3,0,3,4.6,4.9,3,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,3,0,3,4.9,5.2,3,NA,NA,NA,4.9,NA,NA,NA
2,"LC",70,3,0,3,5.9,6,1,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA,NA,3,0,3,15.9,16.2,1,NA,NA,NA,15.9,NA,NA,NA
2,"LC",71,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"LC",72,3,0,3,42.9,43.1,1,NA,NA,NA,NA,NA,NA,42.9,NA,NA,NA,NA,NA,NA,3,0,3,19.1,19.3,1,NA,NA,NA,19.1,NA,NA,NA
2,"LC",73,3,0,3,7.8,8,1,NA,NA,NA,NA,NA,NA,7.8,NA,NA,NA,NA,NA,NA,3,0,3,8,8.3,3,NA,NA,NA,8,NA,NA,NA
2,"LC",74,3,0,3,27.2,27.6,3,NA,NA,NA,NA,NA,NA,27.2,NA,NA,NA,NA,NA,NA,3,0,3,9.5,9.7,3,NA,NA,NA,9.5,NA,NA,NA
2,"LC",75,3,0,3,37.8,38,1,3,3,NA,NA,NA,NA,37.8,38.3,40,NA,NA,NA,NA,3,0,3,17.9,18,1,3,NA,NA,17.9,18.9,NA,NA
2,"LC",76,3,0,3,9.3,9.7,3,NA,NA,NA,NA,NA,NA,9.3,NA,NA,NA,NA,NA,NA,3,0,3,7.3,7.6,3,NA,NA,NA,7.3,NA,NA,NA
2,"LC",77,3,0,3,21.4,21.6,3,NA,NA,NA,NA,NA,NA,21.4,NA,NA,NA,NA,NA,NA,3,0,3,8,8.4,3,NA,NA,NA,8,NA,NA,NA
2,"LC",78,3,0,3,7.9,8.1,1,NA,NA,NA,NA,NA,NA,7.9,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"LC",79,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"LC",80,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,18.1,18.2,3,NA,NA,NA,18.1,NA,NA,NA
2,"LC",81,3,0,3,28,28.2,3,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,3,0,3,7.1,7.9,2,3,NA,NA,7.1,7.7,NA,NA
2,"LC",82,3,0,3,21.4,21.6,3,3,NA,NA,NA,NA,NA,21.4,48,NA,NA,NA,NA,NA,3,0,3,7.1,7.5,3,3,NA,NA,7.1,28.6,NA,NA
3,"HC",1,3,0,3,6.7,14.5,2,2,3,NA,NA,NA,NA,6.7,7.2,14.2,NA,NA,NA,NA,3,0,3,2.7,2.9,3,NA,NA,NA,2.7,NA,NA,NA
3,"HC",2,3,0,3,10.4,10.8,3,NA,NA,NA,NA,NA,NA,10.4,NA,NA,NA,NA,NA,NA,3,0,3,2.9,3,3,NA,NA,NA,2.9,NA,NA,NA
3,"HC",3,3,0,3,25.9,26.1,3,3,NA,NA,NA,NA,NA,25.9,27.2,NA,NA,NA,NA,NA,3,0,3,10.7,10.9,3,NA,NA,NA,10.7,NA,NA,NA
3,"HC",4,3,0,3,5.4,5.6,3,NA,NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA,NA,3,0,3,3.1,3.4,3,NA,NA,NA,3.1,NA,NA,NA
3,"HC",5,3,0,3,9.8,10,3,NA,NA,NA,NA,NA,NA,9.8,NA,NA,NA,NA,NA,NA,3,0,3,2.8,3,3,NA,NA,NA,2.8,NA,NA,NA
3,"HC",6,3,0,3,5.2,5.4,1,NA,NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,NA,NA,3,0,3,5.1,5.2,1,NA,NA,NA,5.1,NA,NA,NA
3,"HC",7,3,0,3,27.8,27.9,3,NA,NA,NA,NA,NA,NA,27.8,NA,NA,NA,NA,NA,NA,3,0,3,18.1,18.4,3,NA,NA,NA,18.1,NA,NA,NA
3,"HC",8,3,0,3,9.6,9.7,3,1,NA,NA,NA,NA,NA,9.6,9.8,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",9,3,0,3,4.7,4.9,1,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,3,0,3,1.6,1.8,3,NA,NA,NA,1.6,NA,NA,NA
3,"HC",10,3,0,3,14.8,15.1,3,NA,NA,NA,NA,NA,NA,14.8,NA,NA,NA,NA,NA,NA,3,0,3,1.4,1.7,3,NA,NA,NA,1.4,NA,NA,NA
3,"HC",11,3,0,3,8.1,8.3,1,2,NA,NA,NA,NA,NA,8.1,9,NA,NA,NA,NA,NA,3,0,3,2,2.2,3,NA,NA,NA,2,NA,NA,NA
3,"HC",12,3,0,3,5.1,5.4,3,NA,NA,NA,NA,NA,NA,5.1,NA,NA,NA,NA,NA,NA,3,0,3,2.3,2.4,3,NA,NA,NA,2.3,NA,NA,NA
3,"HC",13,3,0,3,22.1,22.5,3,NA,NA,NA,NA,NA,NA,22.1,NA,NA,NA,NA,NA,NA,3,0,3,1.9,2.2,3,NA,NA,NA,1.9,NA,NA,NA
3,"HC",14,3,0,3,7.8,8,3,NA,NA,NA,NA,NA,NA,7.8,NA,NA,NA,NA,NA,NA,3,0,3,6.6,6.9,3,NA,NA,NA,6.6,NA,NA,NA
3,"HC",15,3,0,3,23,23.3,3,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,3,0,3,7.4,7.5,3,NA,NA,NA,7.4,NA,NA,NA
3,"HC",16,3,0,3,14.9,15.1,3,NA,NA,NA,NA,NA,NA,14.9,NA,NA,NA,NA,NA,NA,3,0,3,2.4,2.6,3,NA,NA,NA,2.4,NA,NA,NA
3,"HC",17,3,0,3,27.2,27.4,3,NA,NA,NA,NA,NA,NA,27.2,NA,NA,NA,NA,NA,NA,3,0,3,5,5.1,1,NA,NA,NA,5,NA,NA,NA
3,"HC",18,3,0,3,15.3,15.5,3,NA,NA,NA,NA,NA,NA,15.3,NA,NA,NA,NA,NA,NA,3,0,3,2.2,2.6,3,NA,NA,NA,2.2,NA,NA,NA
3,"HC",19,3,0,3,5.7,5.8,1,NA,NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA,NA,NA,3,0,3,1.5,1.8,3,NA,NA,NA,1.5,NA,NA,NA
3,"HC",20,3,0,3,9.6,9.8,3,NA,NA,NA,NA,NA,NA,9.6,NA,NA,NA,NA,NA,NA,3,0,3,2.1,2.2,3,NA,NA,NA,2.1,NA,NA,NA
3,"HC",21,3,0,3,20.8,21,3,NA,NA,NA,NA,NA,NA,20.8,NA,NA,NA,NA,NA,NA,3,0,3,7.1,7.3,3,NA,NA,NA,7.1,NA,NA,NA
3,"LC",51,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"LC",52,3,0,3,21.7,21.9,3,NA,NA,NA,NA,NA,NA,21.7,NA,NA,NA,NA,NA,NA,3,0,3,7.2,7.3,3,NA,NA,NA,7.2,NA,NA,NA
3,"LC",53,3,0,3,35.1,35.4,3,NA,NA,NA,NA,NA,NA,35.1,NA,NA,NA,NA,NA,NA,3,0,3,10.8,11.2,3,NA,NA,NA,10.8,NA,NA,NA
3,"LC",54,3,0,3,24.8,25.5,2,3,4,3,NA,NA,NA,24.8,25,43.1,44,NA,NA,NA,3,0,3,4.2,4.6,3,NA,NA,NA,4.2,NA,NA,NA
3,"LC",55,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"LC",56,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"LC",57,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,7.6,7.7,3,NA,NA,NA,7.6,NA,NA,NA
3,"LC",58,3,0,3,26.3,26.5,3,4,NA,NA,NA,NA,NA,26.3,36.3,NA,NA,NA,NA,NA,3,0,3,8.7,9,3,NA,NA,NA,8.7,NA,NA,NA
3,"LC",59,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"LC",60,3,0,3,6.4,6.6,1,3,NA,NA,NA,NA,NA,6.4,7.1,NA,NA,NA,NA,NA,3,0,3,6.9,7.1,1,NA,NA,NA,6.9,NA,NA,NA
3,"LC",61,3,0,3,27.3,27.4,3,NA,NA,NA,NA,NA,NA,27.3,NA,NA,NA,NA,NA,NA,3,0,3,4,4.2,1,NA,NA,NA,4,NA,NA,NA
3,"LC",62,3,0,3,27.1,27.2,3,NA,NA,NA,NA,NA,NA,27.1,NA,NA,NA,NA,NA,NA,3,0,3,9.4,9.6,3,NA,NA,NA,9.4,NA,NA,NA
3,"LC",63,3,0,3,25.2,25.4,3,NA,NA,NA,NA,NA,NA,25.2,NA,NA,NA,NA,NA,NA,3,0,3,13.7,14,3,NA,NA,NA,13.7,NA,NA,NA
3,"LC",64,3,0,3,27.1,27.2,3,NA,NA,NA,NA,NA,NA,27.1,NA,NA,NA,NA,NA,NA,3,0,3,7.5,7.6,3,NA,NA,NA,7.5,NA,NA,NA
3,"LC",65,3,0,3,26.1,26.3,3,NA,NA,NA,NA,NA,NA,26.1,NA,NA,NA,NA,NA,NA,3,0,3,14.1,14.3,3,3,NA,NA,14.1,16.8,NA,NA
3,"LC",66,3,0,3,21.8,22,3,NA,NA,NA,NA,NA,NA,21.8,NA,NA,NA,NA,NA,NA,3,0,3,6.7,6.9,3,NA,NA,NA,6.7,NA,NA,NA
3,"LC",67,3,0,3,13.9,21.7,2,3,3,NA,NA,NA,NA,13.9,21.5,25.2,NA,NA,NA,NA,3,0,3,11.3,11.5,3,NA,NA,NA,11.3,NA,NA,NA
3,"LC",68,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"LC",69,3,0,3,14.3,14.5,3,NA,NA,NA,NA,NA,NA,14.3,NA,NA,NA,NA,NA,NA,3,0,3,6.6,6.7,1,3,NA,NA,6.6,7.7,NA,NA
3,"LC",70,3,0,3,23.3,24.2,3,NA,NA,NA,NA,NA,NA,23.3,NA,NA,NA,NA,NA,NA,3,0,3,11.8,12,3,NA,NA,NA,11.8,NA,NA,NA
3,"LC",71,3,0,3,12.6,12.8,1,NA,NA,NA,NA,NA,NA,12.6,NA,NA,NA,NA,NA,NA,3,0,3,2.6,2.7,1,NA,NA,NA,2.6,NA,NA,NA
