"Test","eta_sq_Exp","eta_sq_HMI","eta_sq_Interaction","eta_sq_Residuals","eta_sq_part_Exp","eta_sq_part_HMI","eta_sq_part_Interaction","eta_sq_part_Residuals","SumSq_Exp","SumSq_HMI","SumSq_Interaction","SumSq_Residuals","Df_Exp","Df_HMI","Df_Interaction","Df_Residuals","MeanSq_Exp","MeanSq_HMI","MeanSq_Interaction","MeanSq_Residuals","F_Exp","F_HMI","F_Interaction","F_Residuals","p_Exp","p_HMI","p_Interaction","p_Residuals","lev_Df_group","lev_Df","lev_F","lev_x1","lev_p","lev_x2","shap_W","shap_p","method","data"
"LevelObserved_Rep 12",0.049591213312210274,0.05093239202333979,0.026856189757878637,0.8765690977375344,0.05354495622469693,0.05491354201109805,0.029727073317078245,NA,13.88202884506049,14.257463933471541,7.517831809037318,245.37728937728926,1,1,1,109,13.88202884506049,14.257463933471541,7.517831809037318,2.251167792452195,6.166590021234627,6.333363501945317,3.339525305152021,NA,0.014541871750634039,0.013304564931893914,0.07036982753355492,NA,3,109,6.265112271322798,NA,5.797126439676309e-4,NA,"0.814718027924069","1.30622004018243e-10","Shapiro-Wilk normality test","anova_LevelObserved_Rep_res"
"LevelObserved_Instr 12",0.043620065561911975,0.08929402817740374,0.032447083800752646,0.8395290553738233,0.0493915065166963,0.09613674526261808,0.037210976703407825,NA,13.502919410227264,27.641638103058256,10.044238861507324,259.882534132534,1,1,1,109,13.502919410227264,27.641638103058256,10.044238861507324,2.3842434324085686,5.663397967961091,11.593463036253226,4.212757273430175,NA,0.01905987609269122,9.272787523102455e-4,0.042516355537387196,NA,3,109,6.074523094613044,NA,7.315306197981596e-4,NA,"0.824060507798216","2.7409825828012e-10","Shapiro-Wilk normality test","anova_LevelObserved_Instr_res"
"BothAllow_Observed 12",0.1395731378870084,0.038792596175690336,0.011623137512642006,0.8157405304278946,0.14610189565611917,0.045396246169969824,0.014048402127173622,NA,108.29146275314667,30.098248469977648,9.018114675074116,632.9135864135861,1,1,1,109,108.29146275314667,30.098248469977648,9.018114675074116,5.806546664344827,18.649891064875405,5.183502382715069,1.553094325487809,NA,3.47583716053812e-5,0.02475507286676293,0.2153509885683682,NA,3,109,10.67836788210641,NA,3.2804789178738062e-6,NA,"0.874688341723394","2.56345423587155e-08","Shapiro-Wilk normality test","anova_BothAllow_Observed_res"
"EmailsAllow_Observed 12",0.0924837287340702,0.053278933221678156,0.02064514000774748,0.8390987404587867,0.09927594366841197,0.059704466834023265,0.024013128184808403,NA,16.78947974558156,9.672248107163767,3.7479150629993967,152.32983682983675,1,1,1,109,16.78947974558156,9.672248107163767,3.7479150629993967,1.3975214388058417,12.013754694116095,6.921001595101496,2.6818301021570923,NA,7.565389937380651e-4,0.009752232049980325,0.10438282627043516,NA,3,109,9.045407316498064,NA,2.1209793776980787e-5,NA,"0.816818175988135","1.53966200438627e-10","Shapiro-Wilk normality test","anova_EmailsAllow_Observed_res"
"HandsOffAllow_Observed 12",0.15312335027246154,0.021721883162143147,0.004380524613007658,0.8252061275689218,0.15651511453004327,0.02564785068732454,0.005280370171682805,NA,39.80123047967027,5.64615178972096,1.1386262737456718,214.4951714951714,1,1,1,109,39.80123047967027,5.64615178972096,1.1386262737456718,1.9678456100474442,20.225789196293032,2.86920465756703,0.5786156535513067,NA,1.726410961322422e-5,0.09314523375286554,0.44849782364870716,NA,3,109,9.983122116403207,NA,7.211965981909321e-6,NA,"0.867441535378226","1.2562644622606e-08","Shapiro-Wilk normality test","anova_HandsOffAllow_Observed_res"
"TransProblems 12",0.03581642959321333,0.004850447618162027,0.015685857406163784,0.9424993465679344,0.036610295434215366,0.005120017598493519,0.016370381572483356,NA,3.123953363457616,0.42306205066022073,1.3681399167712414,82.20596070596073,1,1,1,109,3.123953363457616,0.42306205066022073,1.3681399167712414,0.754183125742759,4.142168204016741,0.56095401265252,1.8140685863580222,NA,0.04425372084309431,0.4554893494401723,0.18081461776754582,NA,3,109,1.0233397464677618,NA,0.3852886010083226,NA,"0.867661632981678","1.28331138727601e-08","Shapiro-Wilk normality test","anova_TransProblems_res"
"AvailImplem_Rep 12",0.057269854198774485,0.019715653534797196,0.01692046888863,0.9087178966163886,0.05928631512195313,0.021235395394303348,0.018279783465325977,NA,17.265087195888952,5.943658878906206,5.100997284602386,273.9502997002999,1,1,1,109,17.265087195888952,5.943658878906206,5.100997284602386,2.513305501837614,6.869474157942801,2.364877200388283,2.029596991242318,NA,0.010019867019855466,0.126991598358555,0.15711838085886665,NA,3,109,2.8733881865316864,NA,0.03959144993219635,NA,"0.958795149511735","0.00152321584475442","Shapiro-Wilk normality test","anova_AvailImplem_Rep_res"
"LevelObserved_Rep 23",0.0014860945425531182,0.06929051690801769,7.950127705152983e-4,0.9291328703790822,0.0015968883061374724,0.0693999337258042,8.549187360880592e-4,NA,0.657142349855576,30.639862942646346,0.3515500159795124,410.85714285714255,1,1,1,99,0.657142349855576,30.639862942646346,0.3515500159795124,4.150072150072147,0.15834480126909403,7.38297114716757,0.08470937450410371,NA,0.691541793114981,0.00777324643796562,0.7716229243067733,NA,3,99,2.8265733576462404,NA,0.04249779907972347,NA,"0.752557276569589","6.97016903590787e-12","Shapiro-Wilk normality test","anova_LevelObserved_Rep_res"
"LevelObserved_Instr 23",8.075523167552898e-4,0.10733878198879827,0.001659622950748474,0.889265722659565,9.072874553803157e-4,0.1077044920910438,0.0018628081005054099,NA,0.3779188036139658,50.23246572256363,0.7766713152619218,416.1590909090908,1,1,1,99,0.3779188036139658,50.23246572256363,0.7766713152619218,4.2036271808999075,0.08990302597031485,11.949790873654482,0.18476217843268702,NA,0.7649291159886441,8.067928877589781e-4,0.6682463919697628,NA,3,99,3.9417620306317067,NA,0.010562926607157515,NA,"0.87324063940865","6.73693009339695e-08","Shapiro-Wilk normality test","anova_LevelObserved_Instr_res"
"BothAllow_Observed 23",7.966020838422256e-5,0.06803493283439233,6.825206671466449e-4,0.9309038549443386,8.55656486797779e-5,0.06810720903697891,7.326434617494748e-4,NA,0.08680951873668619,74.1409029229469,0.7437752404194953,1014.4502164502168,1,1,1,99,0.08680951873668619,74.1409029229469,0.7437752404194953,10.246971883335522,0.00847172410786674,7.2353963460679545,0.072584881552089,NA,0.9268506872498645,0.008390170208164793,0.7881704446856257,NA,3,99,2.9014361081845452,NA,0.038701317043088344,NA,"0.872775583384788","6.44447528490971e-08","Shapiro-Wilk normality test","anova_BothAllow_Observed_res"
"EmailsAllow_Observed 23",0.0016266766409802017,0.08577431996852955,0.0018433730927349297,0.9096589862733077,0.0017850348218780227,0.08616782202351884,0.0020223459366764678,NA,0.5390458942712257,28.423777564717,0.610854469914841,301.44155844155864,1,1,1,99,0.5390458942712257,28.423777564717,0.610854469914841,3.0448642266824106,0.17703446004177117,9.334990150180412,0.2006179666606708,NA,0.6748462306212326,0.002889243318825452,0.6552011271771494,NA,3,99,3.7078439371023637,NA,0.01413431511237982,NA,"0.808369083784896","2.99726693641703e-10","Shapiro-Wilk normality test","anova_EmailsAllow_Observed_res"
"HandsOffAllow_Observed 23",5.632309036268955e-4,0.031344251851683935,1.9055865982503432e-5,0.968360925314568,5.812951406075378e-4,0.03135349557809818,1.9678087478917577e-5,NA,0.1932155412500265,10.75259995075146,0.006537087074036663,332.1948051948053,1,1,1,99,0.1932155412500265,10.75259995075146,0.006537087074036663,3.355503082775811,0.05758169087724115,3.2044673139911,0.0019481689966527802,NA,0.8108559854835257,0.07649443129983724,0.9648832534867229,NA,3,99,1.2693221206004452,NA,0.28912972035385714,NA,"0.84526786978054","5.47389407796159e-09","Shapiro-Wilk normality test","anova_HandsOffAllow_Observed_res"
"TransProblems 23",0.040484585540176886,0.03626790761715248,3.405766153861698e-6,0.9200234515105531,0.042149137725579135,0.037925583318283614,3.7018116666102725e-6,NA,3.1082728393370758,2.7845302275382693,2.6148348295862434e-4,70.63636363636363,1,1,1,99,3.1082728393370758,2.7845302275382693,2.6148348295862434e-4,0.7134986225895316,4.3563823964454,3.9026427513374204,3.664807116369909e-4,NA,0.03943902871340743,0.050994204654714825,0.9847650110373354,NA,3,99,2.035764187045603,NA,0.11377185931252694,NA,"0.889233431867188","3.30278587387309e-07","Shapiro-Wilk normality test","anova_TransProblems_res"
"AvailImplem_Rep 23",5.250200787646164e-5,0.10346624174005112,0.011736424356634991,0.8847644923871557,5.933657265744354e-5,0.1046984658207693,0.013091369052095595,NA,0.018325749390044166,36.11474100037202,4.096581829803313,308.8257575757575,1,1,1,99,0.018325749390044166,36.11474100037202,4.096581829803313,3.119452096724823,0.005874669275827235,11.577270584885605,1.3132376144209421,NA,0.9390595372573453,9.646435522356889e-4,0.2545717582795973,NA,3,99,3.071865978955342,NA,0.03127441413048275,NA,"0.960275644856588","0.00352913800907772","Shapiro-Wilk normality test","anova_AvailImplem_Rep_res"
