"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","VP","HMI","Datum","Wetter","Licht","AutomatStufeBefunden","AutomatStufeBefunden[other]","AenderungVerfuegbark","FallsJa","FallsJa[other]","HaendeLenkrad","Emails","Sonderanmerkungen","Notiz","ER1","q0r496","q0r496[other]","r94q0","r440q0","r440q0[other]","r182q0","r164q0","q0r969","q0r262","ER2","q0r972","q0r972[other]","r215q0","r564q0","r564q0[other]","r554q0","r329q0","Probleme","fallsjaproblem","q0r994","q0r624","ER3","q0r888","q0r888[other]","r665q0","r207q0","r207q0[other]","r274q0","r274q1","q0r3","q0r337","ER4","q0r341","q0r341[other]","r676q0","r217q0","r217q0[other]","r36q0","r448q0","r500q0","r729q0","q0r409","q0r873","ER5","q0r432","q0r432[other]","r462q0","r608q0","r608q0[other]","FallsJa2","FallsJa2[other]","r711q0","r5q0","q0r933","q0r157","ER6","q0r842","q0r842[other]","r159q0","r808q0","r808q0[other]","r734q0","r620q0","q0r676","q0r791","ER7","q0r204","q0r204[other]","r77q0","r29q0","r29q0[other]","r64q0","r175q0","q0r774","q0r98","ER8","q0r691","q0r691[other]","r582q0","r243q0","r243q0[other]","r185q0","r36q1","r438q0","r17q0","q0r355","q0r255","ER9","q0r940","q0r940[other]","r405q0","r754q0","r754q0[other]","r733q0","r733q0[other]","r801q0","r235q0","q0r299","q0r360","q0r485","q0r216","ER10","q0r64","q0r64[other]","r850q0","r972q0","r972q0[other]","r722q0","r230q0","r469q0","r138q0","q0r83","q0r805","TC11","q0r522","q0r522[other]","r225q0","r822q0","r822q0[other]","r857q0","r857q0[other]","r769q0","r658q0","r663q0","r314q0","q0r1017","q0r594","ER12"
"18","2020-09-29 09:57:08","1","de","","2020-09-29 08:57:43","2020-09-29 09:57:08","02","A1","2020-09-29 08:57:52","A4","A2","A1","","N","","","N","N","","","A1","A5","","Y","A2","","Y","Y","Erster Kontakt mit Bedienelementen beim fahren sehr s chwer","","A4","A5","","N","","","Y","Y","N","","","","A1","A5","","N","","","Y","Y","","","A1","A3","","N","","","N","N","N","","","","A1","A3","","Y","A7","","A1","","N","N","","","A1","A3","","N","","","N","N","","","A1","A3","","Y","A4","","N","N","","Erst hier Skala richtig angeschaut _ Anmerkung Icons sind weiter links","A1","A5","","N","","","Y","Y","N","","","","A1","A1","","Y","A8","","A2","","N","N","N","","","","A2","A5","","Y","A3","","Y","Y","N","","","Hase auf Straße","A1","A1","","Y","A8","","A1","","N","N","Y","Bremsen für Übernahme - Allein ans Lenkrad fassen reicht nicht, hätte Proband aber erwartet, zumindest kurz zu lenken","","","A2"
"19","2020-09-29 12:02:36","1","de","","2020-09-29 11:00:25","2020-09-29 12:02:36","51","A2","2020-09-29 11:00:34","A3","A2","A1","","N","","","N","N","","","A1","A1","","Y","A4","","N","N","","","A1","A5","","N","","","Y","Y","Y","Nach einschalten mit zwischenstufe gerechnet","","","A2","A5","","N","","","Y","Y","Wieder Anzeige ""Automatisiertes fahren verfügbar"" erwartet - Weil es bei erster Fahrt auch so war und sich an Fahrbedingungen nichts geändert hat","","A1","A3","","N","","","N","N","N","","","","A1","A3","","N","","","","","N","N","","","A3","A3","","N","","","N","N","","","A1","A3","","Y","A4","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A1","A5","","Y","A8","","A3","","Y","Y","Y","Als Änderung der Verfügbarkeit wahrgenommen und deshalb nicht gehandelt","","","A4","A5","","Y","A4","","Y","Y","N","","","","A1","A1","","N","","","","","N","N","N","","Akustisches Signal bei Sensorfehler gewünscht","","A1"
"20","2020-09-29 15:14:38","1","de","","2020-09-29 14:06:18","2020-09-29 15:14:38","03","A1","2020-09-29 14:06:27","A3","A2","-oth-","Nicht automatisiert","N","","","N","N","","","A1","A1","","Y","-oth-","Assistenz verfügbar, nicht gemerkt welche Stufen genau","N","N","","","A2","A5","","Y","A4","","Y","Y","N","","","","A1","A5","","N","","","Y","Y","","","A1","A3","","Y","A3","","N","N","N","","","","A1","A3","","Y","-oth-","Assistenzsystem","A1","","N","N","","","A2","A3","","Y","A7","","N","N","","","A2","A3","","Y","A4","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A1","A1","","Y","A10","","A3","","N","N","Y","Erst mit Lenken versucht - funktionierte nicht","","","A3","A5","","Y","A3","","Y","Y","N","","","","A1","A1","","Y","A10","","A1","","N","N","N","","","","A2"
"21","2020-09-29 17:13:46","1","de","","2020-09-29 16:04:14","2020-09-29 17:13:46","52","A2","2020-09-29 16:04:28","A3","A2","A1","","N","","","N","N","","","A4","A1","","Y","A4","","N","N","","","A1","A5","","N","","","Y","Y","Y","Dachte 2 mal FAS drücken, drücken der anderen Taste erst bei zweitem Versuch ","","","A3","A5","","N","","","Y","Y","","","A1","A3","","N","","","Y","N","N","","","Unsicherheit ob Hände ans Steuer in L2","A2","A3","","Y","A7","","A1","","N","N","","","A1","A3","","N","","","N","N","","","A1","A3","","Y","A4","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A1","A1","","Y","A10","","-oth-","Außerhalb der Wertgrenze","N","N","Y","Kurz überlegt ob über Taste deaktiviert werden kann - Machte für Proband keinen Sinn, also übersteuert","","","A2","A5","","Y","A4","","Y","Y","N","","","","A1","A1","","Y","A7","","A1","","N","N","N","","Immer Angst eine Meldung zu verpassen - Stressig in L3,Konzentration auf nebenaufgabe nicht möglich","","A1"
"23","2020-10-01 10:19:14","1","de","","2020-10-01 09:30:14","2020-10-01 10:19:14","53","A2","2020-10-01 09:30:21","A1","A1","-oth-","Alles selber machen ","N","","","N","N","","","A1","A1","","Y","A4","","N","N","Meldung sehr klein, lieber größer und mit Audio Durchsage","","A1","A5","","N","","","Y","Y","N","","Fehlendes Vertrauen für nebenaufgabe","","A4","-oth-","Teilautonom","N","","","N","N","Symbole unklar zu weit unten","","A4","A3","","N","","","N","N","N","","","","A1","-oth-","Fahrer fährt","Y","-oth-","Teilautonom nicht verfügbar ","A1","","N","N","","","A3","-oth-","Teilautonom","N","","","N","N","","","A1","A3","","Y","A4","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A1","-oth-","Normal","Y","-oth-","Autonom  nicht verfügbar selber fahren","A1","","N","N","N","","Automatischer Wechsel ","","A2","-oth-","Autonom","N","","","Y","Y","N","","","","A3","-oth-","Selber fahren","Y","-oth-","System nicht verfügbar ","A1","","N","N","N","","","","A2"
"24","2020-10-01 12:15:05","1","de","","2020-10-01 11:05:29","2020-10-01 12:15:05","54","A2","2020-10-01 11:24:14","A2","A1","A1","","N","","","N","N","","","A1","A1","","Y","-oth-","Von manuell auf automatisiert ","N","N","Verwirrende Anzeige, drei Symbole beleuchtet aber unklar welche Stufe aktiv, erst gemerkt als Hände vom Lenkrad und Auto nicht gelenkt","","A3","A5","","Y","-oth-","Von manuell auf automatisiert ","Y","Y","N","","Jetzt Automation verstanden un gelernt wie Anzeige bei Wechsel aussieht ","","A2","A5","","Y","-oth-","Hin und her geschaltet","Y","Y","","Unsicherheit ob Hände entfernen dürfen "" Ich kann, aber darf eigentlich nicht""","A1","A3","","Y","-oth-","Umschalten genannt","N","N","N","","","Proband nimmt noch einmal Abbildung i n die Hand ""ich merke keinen unterschied"", verwirrung da Auto sich in l2 komplett gleich verhält","A1","A3","","Y","-oth-","Assistiert nichtverfügbar","A1","","N","N","Jetzt verstanden Mitte = assistiert und rechts = automatisiert (skala)","","A1","A3","","Y","-oth-","Umschalten zwischen den Stufen genannt","N","N","","","A1","A3","","Y","-oth-","Umschalten genannt","N","N","","","A1","A5","","Y","-oth-","Umschalten genannt","Y","Y","N","","","","A1","A1","","Y","-oth-","","-oth-","Ende Systemstrecke , übernehmen","N","N","N","","Unterschied zwischen  l2 u l3 beim Fahrverhalten nicht klar, nur durch Anzeige - verwirrt","","A1","A5","","Y","-oth-","Umschalten genannt","Y","Y","N","","","","A1","A1","","Y","A10","","A1","","N","N","N","","Erst Wechsel über mod probiert, drücken der Tasten noch nicht zu 100 Prozent klar","","A2"
"25","2020-10-01 17:06:11","1","de","","2020-10-01 16:00:40","2020-10-01 17:06:11","56","A2","2020-10-01 16:23:07","A1","A1","A1","","N","","","N","N","","","A1","A1","","Y","A3","","N","N","","","A1","A3","","Y","A2","","N","N","N","","","Ansage war automatisiert,  falsch verstanden oder verwechselt?","A3","A5","","Y","A2","","Y","Y","Korrektur tc3: ich war nur assistiert,  nicht automatisiert ","","A1","A3","","Y","A2","","Y","N","N","","","VP nennt immer die verfügbaren Level, nicht nur die änderungen","A1","A1","","Y","-oth-","Aufgefordert selber zu fahren","-oth-","Hod","N","N","","HOD lange nicht die Hände ans Steuer- fast Notbremsung","A4","A3","","Y","-oth-","Manuell und assistiert verfügbar ","Y","N","","","A1","A3","","Y","A4","","Y","N","","Auch nach HOD der Meinung, dass Hände nicht an Lenkrad müssen","A1","A5","","N","","","Y","Y","N","","","Hände nicht an Lenkrad in l2, überwacht aber und lässt es nicht wieder zur bremsung kommen","A1","A1","","Y","A7","","A1","","N","N","N","","","","A2","A5","","Y","A2","","Y","Y","N","","","","A1","A1","","Y","A8","","A1","","N","N","N","","","","A1"
"26","2020-10-02 09:59:29","1","de","","2020-10-02 08:47:55","2020-10-02 09:59:29","04","A1","2020-10-02 09:19:11","A2","A2","A1","","N","","","N","N","","","A1","A1","","Y","A3","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A2","A5","","N","","","Y","Y","","","A1","A3","","N","","","N","N","N","","","","A1","A3","","Y","A7","","-oth-","Sensordefekt","N","N","Assistiert scheint auch eine Weile ohne Hände am Lenkrad zu funktionieren ","","A1","A3","","N","","","N","N","","","A1","A3","","Y","A4","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A1","A1","","Y","A7","","A2","","N","N","N","","","","A1","A5","","Y","A3","","Y","Y","N","","","","A1","A1","","Y","A7","","-oth-","Sensordefekt","N","N","N","","","","A1"
"27","2020-10-02 12:15:06","1","de","","2020-10-02 11:06:25","2020-10-02 12:15:06","05","A1","2020-10-02 11:26:15","A3","A2","A1","","N","","","N","N","","","A3","A1","","Y","-oth-","Zwei Zeichen angegangen","N","N","","","A2","A5","","N","","","Y","N","N","","","","A4","A3","","Y","A3","","N","N","Alle Knöpfe gedrückt und so automatisiert gefunden","","A4","A3","","Y","-oth-","Umschalten genannt","N","N","N","","Unsicher in l3 den Blick von Straße z wenden","Proband lenkt und gibt Gas um das Auto zu testen","A1","A5","","Y","A7","","A2","","Y","Y","","Proband handelt ohne Aufforderung- Hinweis von lv","A2","A3","","N","","","N","N","","","A1","A3","","Y","A4","","N","N","Hinweis zum ersten mal gesehen","","A1","A5","","N","","","Y","Y","N","","Ab jetzt sicherer in L3,  Blick von Straße dennoch unwohl","","A1","A1","","N","","","","","N","N","N","","Geräusch klingt wie SMS, hätte erwartet, dass Auto bremst","Keinerlei Reaktion auf Nachricht, obwohl gesehen ","A4","A5","","N","","","Y","Y","N","","","","A1","A1","","N","","","","","N","N","Y","Wiederherstellen von Level mit mod versucht,ging aber nicht","","","A1"
"28","2020-10-02 15:00:31","1","de","","2020-10-02 14:04:30","2020-10-02 15:00:31","06","A1","2020-10-02 14:17:57","A4","A2","A5","","N","","","Y","Y","Wusste nicht ob schon ausprobieren darf ","","A4","A1","","Y","A3","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A1","A5","","N","","","Y","Y","","","A1","A3","","N","","","N","N","N","","","","A1","A3","","Y","A7","","A1","","N","N","","","A1","A3","","N","","","N","N","","","A1","A3","","Y","A4","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A1","A1","","Y","-oth-","Vom automatisierten ins manuelle übernehmen","A1","","N","N","Y","Übersteuern über lenken versucht,ging nicht, dann gebremst","","","A3","A5","","Y","A3","","Y","Y","N","","Nicht mehr sicher ob in automatisierten oder assistiert weil sie sich nicht mehr ganz an Anzeige erinnern kann","","A1","A1","","Y","-oth-","Von automatisiert übernehmen ","A1","","N","N","N","","","Übernahme wieder über lenken versucht, dann aber schnell gebremst","A2"
"29","2020-10-02 16:58:09","1","de","","2020-10-02 15:59:20","2020-10-02 16:58:09","57","A2","2020-10-02 16:01:31","A2","A3","A1","","N","","","N","N","","","A1","A5","","N","","","Y","Y","Auto hat nicht übernommen, obwohl angezeigt","","A4","A5","","N","","","Y","Y","N","","","","A2","A5","","N","","","Y","Y","","","A1","A3","","N","","","N","N","N","","","","A1","A3","","Y","A7","","A1","","N","N","","","A1","A3","","N","","","N","N","","","A1","A3","","Y","A4","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A1","A5","","N","","","","","Y","Y","N","","","Proband irritiert, da trotz Warnung das Fahrzeug weitergefahren ist, hat sich nicht dazu aufgefordert gefühlt zu übernehmen, irritiert von notbremsung "" ich will keine notbremsung machen""","A4","A5","","Y","A2","","Y","Y","N","","","","A1","A5","","N","","","","","Y","Y","N","","Angeblich nicht verfügbar, ich soll übernehmen, System ist aber in automatisierten modus geblieben durch leichtes Gas geben","","A4"
"30","2020-10-05 10:42:54","1","de","","2020-10-05 08:54:02","2020-10-05 10:42:54","07","A1","2020-10-05 09:37:59","A4","A2","A1","","N","","","N","N","","","A1","-oth-","Vollautomatisch ","Y","A3","","Y","Y","","","A4","A5","","Y","A2","","Y","Y","Y","Wollte direkt ins automatisiert schalten, Hinweis, dass das nicht geht","","","A2","A5","","N","","","Y","Y","","","A1","A3","","N","","","N","N","N","","","","A1","A3","","Y","A7","","A1","","N","N","","","A1","A3","","N","","","N","N","","","A1","A3","","Y","A4","","N","N","Steuerung von Auto bemerkt, Steinen nicht ausgewichen","","A1","A5","","N","","","Y","Y","N","","","","A1","A1","","Y","A6","","A1","","N","N","N","","","","A1","A5","","Y","A2","","Y","Y","N","","","","A1","A1","","Y","A8","","A1","","N","N","N","","","","A1"
"31","2020-10-05 15:15:37","1","de","","2020-10-05 14:03:22","2020-10-05 15:15:37","08","A1","2020-10-05 14:03:34","A2","A2","-oth-","Erste","N","","","","N","","Hände vom Lenkrad : Weiß ich nicht","A1","-oth-","Eins","Y","-oth-","Hätte in nächste Stufe schalten können","N","N","","","A1","-oth-","Erste Stufe","N","","","Y","N","Y","Erst mit Pfeil rauf und runter versucht, ging nicht, dann mit anderer Taste versucht","","","A4","-oth-","Nicht drauf geachtet","Y","-oth-","Lenkradunterstützung und Spurhalteassistent","Y","N","","P sagt ja bei Hände von l entfernen, obwohl HOD genannt","A4","-oth-","Eins","Y","-oth-","Lenkrad Unterstützung und Spurhalteassistent","Y","N","N","","","","A4","-oth-","Eins","Y","-oth-","Irgendeine Automatik nicht verfügbar ","A3","","Y","N","","","A3","-oth-","Eins","N","","","Y","N","","","A2","-oth-","Eins","N","","","Y","N","Wollte probieren was passiert wenn Hände nicht an Lenkrad genommen werden","","A3","-oth-","Eins","Y","-oth-","Geschwindigkeitsassistent aktiv","Y","N","N","","","","A2","-oth-","Drei","Y","A10","","A3","","Y","Y","N","","","P: Unten stand immer Stufe 1, deshalb immer die bei erster Frage angegeben","A2","A5","","N","","","Y","Y","N","","","","A1","A5","","N","","","","","Y","Y","N","","Sensorfehler musste manuell weiterfahren ","","A2"
"32","2020-10-05 17:05:20","1","de","","2020-10-05 16:03:01","2020-10-05 17:05:20","59","A2","2020-10-05 16:22:28","A3","A3","A1","","N","","","N","N","","","A3","A1","","Y","A4","","N","N","","","A1","A5","","N","","","Y","Y","Y","Erst falsche taste","","","A3","A5","","N","","","Y","Y","","Proband fragt ob er bei HOD Hände ans Lenkrad nehmen soll","A4","A3","","N","","","N","N","Y","Erst jetzt gemerkt welche Stufe welche ist","","","A2","A3","","Y","A7","","A1","","Y","N","","P: Hände entfernen bis zur Meldung erlaubt","A2","A3","","N","","","Y","N","","","A1","A3","","Y","A4","","Y","N","","","A1","A5","","N","","","Y","Y","N","","","","A1","A1","","Y","A10","","A1","","N","N","Y","Erst unsicher wie in manuell,  dann aber mit bremse schnell funktioniert","","","A2","A5","","Y","A4","","Y","Y","N","","","","A1","A1","","Y","-oth-","Bitte übernehmen ","A1","","N","N","N","","Kurz probiert ob auch direkt in autom fahren mit rechter Taste (bei Level reset)","","A1"
"34","2020-10-05 12:00:58","1","de","","2020-10-05 11:00:53","2020-10-05 12:00:58","58","A2","2020-10-05 11:19:29","A2","A2","A1","","N","","","N","N","","","A1","A1","","Y","A3","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A2","A5","","N","","","Y","Y","","","A1","A3","","N","","","N","N","N","","","","A1","A3","","Y","A7","","A1","","N","N","","","A1","A3","","N","","","N","N","","","A1","A3","","Y","A4","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A1","A1","","Y","A7","","-oth-","Systemfehler","N","N","N","","","","A3","A5","","Y","A2","","Y","Y","N","","","","A1","A5","","Y","A8","","A1","","Y","Y","N","","Notbremsung verwirrt","P hat nicht übernommen, nur Hände ans Lenkrad, als nichts passierte hände wieder weg","A3"
"35","2020-10-06 09:52:47","1","de","","2020-10-06 09:08:02","2020-10-06 09:52:47","09","A1","2020-10-06 09:09:17","A2","A2","A1","","N","","","N","N","","","A1","A1","","Y","A3","","N","N","","","A1","A5","","N","","","Y","Y","Y","Drei Symbole verfügbar, daher direkt mit umschalt Taste rechts versucht, da symbol für autom in der leiste auf Bildschirm auch rechts, komisch dass erst ins assistiert geschälten werden muss","","","A2","A5","","N","","","Y","Y","","","A1","A3","","N","","","N","N","N","","","","A1","A3","","Y","A7","","A1","","N","N","Meldung nur aus Zufall gesehen, Symbol unten ausgegraut wäre aber ohne Textmeldung nicht aufgefallen da unterschied zwischen weiß und grau sehr gering","","A1","A3","","N","","","N","N","","","A1","A3","","Y","A4","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A1","A1","","Y","A8","","A1","","N","N","N","","Weiß nicht ob systemgrenze auch für assistiert gilt, Ton fehlt, Anzeige nur ganz zufällig gesehen, Töne auch bei verfügbar bevorzugt, bei dieser Fahrt ohne Ton geht gar nicht","","A1","A5","","N","","","Y","Y","N","","Kurz von kürzerem Intro verwirrt","","A1","A1","","Y","A8","","A1","","N","N","N","","Super","","A1"
"36","2020-10-06 11:56:04","1","de","","2020-10-06 10:54:30","2020-10-06 11:56:04","10","A1","2020-10-06 10:59:23","A3","A2","A1","","N","","","N","N","","","A1","A1","","Y","A3","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A1","A5","","N","","","Y","Y","","","A1","A3","","N","","","Y","N","N","","Unsicher ob Hände ans L müssen, Aufforderung gesehen, unsicher ob sie danach wieder entfernt werden dürfen","","A1","A3","","Y","A7","","A1","","Y","N","","","A1","A3","","N","","","Y","N","","","A1","A3","","Y","A4","","N","N","","Durch Meldung bei HOD gelernt, dass Hände am L bleiben müssen","A1","A5","","N","","","Y","Y","N","","","","A1","A1","","N","","","","","N","N","Y","Aufforderung nur zufällig wahrgenommen, nicht sicher ob Aufforderung oder nur Hinweis, dann schnell irgendwo hingeklickt","","","A3","A5","","N","","","Y","Y","N","","","","A1","A1","","N","","","","","N","N","Y","Erst mit Hände am Lenkrad und Gas Übersteuern wollen, hat nicht funktioniert, dann mit Button ausgeschaltet","","","A1"
"40","2020-10-06 14:50:19","1","de","","2020-10-06 13:56:07","2020-10-06 14:50:19","60","A2","2020-10-06 13:56:18","A3","A2","A1","","N","","","N","N","","","A1","A5","","N","","","Y","Y","","","A4","A5","","N","","","Y","Y","N","","","","A3","A5","","N","","","Y","Y","","","A1","A3","","Y","-oth-","Hände ans Lenkrad ","Y","N","N","","","P spielt surt","A1","A3","","Y","A7","","A1","","Y","N","","","A1","A3","","N","","","Y","N","","","A1","A3","","Y","A4","","Y","N","","","A1","A5","","N","","","Y","Y","N","","","","A1","A1","","Y","A9","","A1","","N","N","N","","Unklar, ob selber übernehmen muss oder das System selber umschaltet","Hinweis, dass P Bremsen soll als keine Reaktion auf Notbremsung kam","A3","A5","","Y","A2","","Y","Y","N","","","","A1","A1","","Y","A10","","A1","","N","N","N","","","","A2"
"41","2020-10-06 16:57:18","1","de","","2020-10-06 16:02:20","2020-10-06 16:57:18","61","A2","2020-10-06 16:02:27","A3","A3","A1","","N","","","N","N","","","A1","A1","","Y","A2","","N","N","","","A1","A5","","Y","-oth-","Selbstständig lenken und beschleunigen ","Y","Y","N","","","","A4","A5","","Y","-oth-","Anweisungen ","Y","Y","","Hände nicht ans Lenkrad bei hod, bis Notbremsung und Hinweis von VL. Bei zweiter HOD dann von alleine reagiert","A4","A3","","N","","","N","N","N","","Jetzt erst verstanden was automatisiert und was assistiert in der Anzeige ist ","","A2","A3","","Y","A7","","A1","","N","N","","","A1","A3","","N","","","N","N","","","A1","A3","","Y","A4","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A1","A1","","Y","A7","","A1","","N","N","N","","","","A1","A5","","N","","","Y","Y","N","","","","A1","A1","","Y","A7","","-oth-","Systemfehler","N","N","N","","","","A1"
"42","2020-10-08 10:02:58","1","de","","2020-10-08 09:02:14","2020-10-08 10:02:58","62","A2","2020-10-08 09:23:04","A1","A1","A1","","N","","","N","N","Sehr auf Display konzentriert, weil auf Ansage gewartet","","A1","A1","","Y","A4","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A2","A5","","N","","","Y","Y","","","A1","A3","","N","","","N","N","N","","Nicht ganz sicher ob Hände am Lenkrad bleiben müssen","","A1","A3","","N","","","","","N","N","","","A3","A3","","N","","","N","N","","","A1","A3","","Y","A4","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A1","A1","","Y","A8","","-oth-","Sollte notbremsung machen","N","N","N","","Ton wäre hilfreich, hätte Meldung bei Ablenkung durch Spiel fast nicht gesehen","Meldung erst bei Notbremsung gesehen","A5","A5","","Y","A4","","Y","Y","N","","","Wiederholung, da bei Durchgang 1 die Spur lange nicht erkannt","A1","A1","","Y","A10","","A1","","N","N","N","","","","A2"
"43","2020-10-08 12:20:53","1","de","","2020-10-08 11:01:42","2020-10-08 12:20:53","11","A1","2020-10-08 11:02:03","A2","A2","A1","","N","","","N","N","","","A1","A3","","Y","-oth-","Schalten von manuell zu assistiert ","Y","N","Spurerkennung nicht funktioniert ","P geht in seinen Antworten vom assistiert aus, da eingegriffen werden musste","A4","A5","","N","","","Y","Y","Y","War nicht klar für was die Knöpfe sind, welche er erst drücken muss, Reihenfolge nicht klar","","","A3","A5","","N","","","Y","Y","Traut System nicht, schaut immer wieder in Display ob sich Verfügbarkeit ändert, weil es so ungewohnt ist ","","A1","A3","","N","","","N","N","Y","Tasten immer noch nicht ganz klar","Hände an Lenkrad erst nach HOD Meldung klar, Definition von assistiert unklar","","A3","A3","","Y","A7","","A1","","N","N","Meldung verwirrend, weil automatisiert ja gerade gar nicht gewollt","","A1","A3","","N","","","N","N","Nicht klar wann ich falsch  bediene, kein lernerfolg","","A1","A3","","Y","A4","","N","N","Visuelle Umsetzung nicht gut , Verfügbarkeit nicht dauerhaft visuell vermittelt ","","A1","A5","","N","","","Y","Y","Y","Tasten immer noch nicht verstanden ","Farben von Abbildung angemerkt","","A1","A1","","Y","A8","","A1","","N","N","N","","Kein Problem bei Wechsel, aber unsicher welcher der richtige Weg ist,  Meldung nur ganz schwach imAugenwinkel wahrgenommen ","","A2","A5","","Y","A3","","Y","Y","N","","Ungutes Gefühl wegen fehlendem Audio Signal wenn automatisiert nicht mehr verfügbar ( bezogen auf tc10)","","A1","A1","","Y","-oth-","Weiß nicht mehr","A2","","N","N","N","","","","A1"
"44","2020-10-08 16:58:22","1","de","","2020-10-08 16:02:22","2020-10-08 16:58:22","63","A2","2020-10-08 16:02:31","A2","A1","A1","","N","","","N","N","","","A1","A5","","Y","A2","","Y","Y","","","A4","A5","","N","","","Y","Y","N","","Nicht angezeigt dass verfügbar ist, keine farbliche Kennzeichnung ","","A2","A5","","N","","","Y","Y","","","A1","A3","","N","","","N","N","N","","","","A1","A3","","Y","A7","","A3","","N","N","Einmal verdrückt aus versehen","","A1","A3","","Y","A7","","N","N","","","A2","A3","","Y","A4","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A1","A1","","N","","","","","N","N","N","","","Keine Reaktion auf Anzeige, Aufforderung von vl","A5","A5","","Y","A3","","Y","Y","N","","","","A1","A1","","Y","A10","","A3","","N","N","N","","Ton gewünscht, Nachricht zu spät gesehen ","Hinweis von VL WG notbremsung ","A5"
"45","2020-10-09 10:08:24","1","de","","2020-10-09 09:14:07","2020-10-09 10:08:24","64","A2","2020-10-09 09:14:20","A2","A1","A1","","N","","","N","N","","","A1","A1","","Y","A3","","N","N","","","A1","A5","","N","","","Y","Y","Y","Ist davon ausgegangen, dass System automatisch eingeschaltet ist, daher direkt Wechsel Taste gedrückt und nicht erst on off","","","A3","A5","","N","","","Y","Y","","","A1","A3","","N","","","N","N","N","","","","A1","A3","","Y","A7","","A1","","N","N","Eher zufällig die Meldung gesehen, hätte akustische Signal gewünscht ","","A1","A3","","N","","","N","N","","","A1","A3","","Y","A4","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A1","A1","","Y","A8","","-oth-","Systemfehler","N","N","N","","Meldung ohne Ton  viel zu unauffällig,  fast übersehen","Nachfrage VL warum nicht übernommen  : P : weil ich nur auf Ihre Anweisung reagieren soll","A5","A5","","N","","","Y","Y","N","","","","A1","A1","","Y","A7","","A1","","","","N","","Zufällig wahrgenommen, erst in letzter Sekunde, Ton gewünscht , immer zurück in Display geschaut und kaum Konzentration auf nebenaufgabe ","","A2"
"46","2020-10-09 12:18:07","1","de","","2020-10-09 11:14:15","2020-10-09 12:18:07","65","A2","2020-10-09 11:14:40","A2","A2","A1","","N","","","N","N","","","A1","A1","","Y","A2","","N","N","","","A1","A5","","N","","","Y","Y","N","","Tablet vergessen","","A2","A5","","N","","","Y","Y","","","A1","A3","","N","","","N","N","N","","","","A1","A3","","Y","A7","","A1","","N","N","","","A1","A3","","N","","","N","N","","","A1","A3","","Y","-oth-","Autonom verfügbar ","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A1","A1","","Y","A10","","A1","","N","N","N","","Erst über Hände übernehmen versucht,  erwartet dass Fahrzeug automatisiert in l0 schaltet","Nicht reagiert bis Notbremsung angezeigt,  dann Vollbremsung ","A4","A5","","Y","A4","","Y","Y","N","","","","A1","A1","","Y","A7","","A1","","N","N","N","","","Auf notbremsung hin Vollbremsung ","A3"
