"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","VP","HMI","Datum","Wetter","Licht","AutomatStufeBefunden","AutomatStufeBefunden[other]","AenderungVerfuegbark","FallsJa","FallsJa[other]","HaendeLenkrad","Emails","Sonderanmerkungen","Notiz","ER1","q0r496","q0r496[other]","r94q0","r440q0","r440q0[other]","r182q0","r164q0","q0r969","q0r262","ER2","q0r972","q0r972[other]","r215q0","r564q0","r564q0[other]","r554q0","r329q0","Probleme","fallsjaproblem","q0r994","q0r624","ER3","q0r888","q0r888[other]","r665q0","r207q0","r207q0[other]","r274q0","r274q1","q0r3","q0r337","ER4","q0r341","q0r341[other]","r676q0","r217q0","r217q0[other]","r36q0","r448q0","r500q0","r729q0","q0r409","q0r873","ER5","q0r432","q0r432[other]","r462q0","r608q0","r608q0[other]","FallsJa2","FallsJa2[other]","r711q0","r5q0","q0r933","q0r157","ER6","q0r842","q0r842[other]","r159q0","r808q0","r808q0[other]","r734q0","r620q0","q0r676","q0r791","ER7","q0r204","q0r204[other]","r77q0","r29q0","r29q0[other]","r64q0","r175q0","q0r774","q0r98","ER8","q0r691","q0r691[other]","r582q0","r243q0","r243q0[other]","r185q0","r36q1","r438q0","r17q0","q0r355","q0r255","ER9","q0r940","q0r940[other]","r405q0","r754q0","r754q0[other]","r733q0","r733q0[other]","r801q0","r235q0","q0r299","q0r360","q0r485","q0r216","ER10","q0r64","q0r64[other]","r850q0","r972q0","r972q0[other]","r722q0","r230q0","r469q0","r138q0","q0r83","q0r805","TC11","q0r522","q0r522[other]","r225q0","r822q0","r822q0[other]","r857q0","r857q0[other]","r769q0","r658q0","r663q0","r314q0","q0r1017","q0r594","ER12"
"47","2020-10-09 15:07:20","1","de","","2020-10-09 14:04:56","2020-10-09 15:07:20","13","A1","2020-10-09 14:05:05","A2","A1","A1","","N","","","N","N","","","A1","A1","","Y","A3","","N","N","","","A1","A5","","N","","","Y","Y","Y","Erst anschalten dann wechseln, dachte erst er kann direkt wechseln","","","A3","A5","","N","","","Y","Y","","","A1","A3","","N","","","N","N","N","","","","A3","A3","","Y","A7","","-oth-","Sensorstörungen","N","N","","","A1","A3","","N","","","N","N","","","A1","A3","","Y","A4","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A1","A1","","Y","A8","","-oth-","Systemüberschreitung","N","N","N","","","","A2","A5","","Y","A3","","Y","Y","N","","","","A1","A1","","Y","A8","","-oth-","Sensorstörung","N","N","N","","","","A1"
"48","2020-10-09 17:04:52","1","de","","2020-10-09 16:07:26","2020-10-09 17:04:52","14","A1","2020-10-09 16:07:36","A2","A1","A5","","N","","","Y","Y","","Hochgeschaltet","A4","A1","","Y","A3","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A2","A5","","N","","","Y","Y","","","A1","A3","","Y","-oth-","Assistiert aktiv","N","N","N","","Anzeigen bei Knopfdruck bisher nicht gesehen","","A1","A3","","Y","A5","","A3","","N","N","","L3 n verfügbar nicht gesehen","A3","A3","","Y","-oth-","Assistiert aktiv","N","N","","","A1","A3","","Y","A4","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A1","A1","","Y","A8","","A1","","N","N","N","","Versucht mit Hände an Lenkrad zu übernehmen ","","A4","A5","","Y","A3","","Y","Y","N","","","","A1","A1","","Y","A7","","-oth-","Sensorstörung","N","N","N","","","","A1"
"49","2020-10-12 09:56:51","1","de","","2020-10-12 08:59:48","2020-10-12 09:56:51","66","A2","2020-10-12 08:59:57","A2","A2","A1","","N","","","N","N","","","A1","A1","","Y","A4","","N","N","","","A1","A3","","N","","","Y","N","Y","Weiterschalten von assistiert in automatisiert nicht möglich","","","A4","A5","","N","","","Y","Y","","","A2","A3","","N","","","N","N","N","","","","A1","A3","","Y","A7","","A1","","N","N","","","A1","A3","","N","","","N","N","","","A1","A3","","N","","","N","N","","","A1","A5","","N","","","N","N","N","","","Keine Ahnung bei Frage ob Hände entfernen dürfen ","A1","A1","","N","","","","","N","N","N","","Verwirrende Anweisung von Auto, unklare Infos in Display, nicht verstanden aus welchem Grund manuell, ob ausgeschaltet oder nur übernommen, warum notbremsung ","","A5","A1","","N","","","N","N","N","","","","A2","A1","","Y","A10","","A2","","N","N","N","","","","A1"
"50","2020-10-12 11:59:19","1","de","","2020-10-12 11:06:28","2020-10-12 11:59:19","15","A1","2020-10-12 11:06:38","A3","A2","A1","","N","","","N","N","","","A1","A1","","Y","A3","","N","N","","","A1","A5","","N","","","Y","Y","Y","Nicht sicher welcher Knopf für was steht, durch ausprobieren gelöst","","","A2","-oth-","Autonom","N","","","Y","Y","Missverständlich, dass erst in assistiert um in automatisiert zu kommen","Probleme bei wiederherstellung","A3","A3","","N","","","N","N","Y","Wechsel nicht direkt möglich, sondern erst über manuell ","","","A3","A3","","Y","A7","","A1","","N","N","","","A1","A3","","N","","","N","N","","Spur länger nicht erkannt ","A1","A3","","Y","-oth-","Autonom verfügbar ","N","N","","","A1","-oth-","Autonom","N","","","Y","Y","N","","Man nimmt nicht mehr wahr, wenn ein Sensorfehler kommen würde,  wahrscheinlich kommt dazu ein Ton später","","A1","A1","","N","","","","","N","N","Y","Bei Wiederherstellung wollte direkt in automatisierten gehen","Signalton zur Übernahme und Anzeige wahrgenommen , Anzeige am Anfang nicht wirklich wahrgenommen ","","A2","A5","","Y","A2","","Y","Y","N","","","","A1","A1","","Y","A7","","A1","","N","N","N","","","","A1"
"51","2020-10-12 14:53:45","1","de","","2020-10-12 13:57:58","2020-10-12 14:53:45","16","A1","2020-10-12 13:58:24","A3","A2","A1","","N","","","N","N","","","A1","A5","","Y","A3","","Y","Y","","In l3 geschaltet ","A3","A5","","N","","","Y","Y","N","","Unten alle drei sichtbar u nicht mehr ausgegraut, aber nicht ganz sicher ob automatisiert verfügbar oder nicht","Spur länger nicht erkannt, leichte Korrektur der Fahrspur nötig,  aber kein Einfluss auf tc","A1","A5","","N","","","Y","Y","","","A1","A3","","N","","","N","N","N","","Nicht sicher ob Hände vom l genommen werden dürfen, Symbolik Anzeige nicht so hilfreich da hier die Hände nur berühren und nicht festhalten","","A1","A3","","N","","","","","N","N","","","A2","A3","","Y","A7","","N","N","Aufgefallen dass automatisiert ausgegraut,Kontrast zu Hintergrund aber sehr schwach, Symbol kaum noch zu erkennen","","A1","A3","","Y","A2","","N","N","Einblendung der Verfügbarkeit gut","","A1","A5","","N","","","Y","Y","N","","","","A1","A1","","Y","A10","","A1","","N","N","N","","Bedeutung von systemgrenze unklar","","A1","A5","","N","","","Y","Y","N","","","","A1","A1","","N","","","","","N","N","N","","Sehr überraschende Aufforderung, man muss sich zusammenreißen dass keine Vollbremsung gemacht wird","","A1"
"52","2020-10-12 16:49:14","1","de","","2020-10-12 15:55:35","2020-10-12 16:49:14","17","A1","2020-10-12 15:56:11","A3","A2","A1","","N","","","N","N","","","A1","A1","","Y","-oth-","Beide andere verfügbar ","N","N","","","A1","A3","","N","","","N","N","N","","","","A4","A5","","N","","","Y","Y","","","A2","A3","","N","","","N","N","N","","","","A1","A3","","Y","A7","","A1","","N","N","","","A1","A3","","N","","","N","N","","","A1","A3","","Y","A4","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A1","A1","","Y","A10","","A1","","N","N","Y","Musste zweimal klicken, weil versucht mit wechseltaste zu deaktivieren, in erster Situation nicht drauf gekommen, dass deaktivieren verrückt werden muss","","","A3","A5","","Y","A3","","Y","Y","N","","","","A1","A1","","Y","A7","","A1","","N","N","N","","","","A1"
"53","2020-10-13 09:58:55","1","de","","2020-10-13 09:12:10","2020-10-13 09:58:55","67","A2","2020-10-13 09:12:22","A3","A2","A1","","N","","","N","N","","","A1","A1","","N","","","N","N","","","A3","A5","","Y","-oth-","Display erklärt","Y","Y","N","","","","A4","A5","","Y","-oth-","Lenkrad lenkt","Y","Y","","","A4","A3","","N","","","Y","Y","N","","","Hände nicht  entfernt da auf Anweisung von VL gewartet","A4","A3","","N","","","","","Y","Y","","In l3 gefahren, daher tc so nicht durchführbar","A4","A5","","N","","","Y","Y","","","A4","A5","","N","","","Y","Y","","","A4","A3","","N","","","Y","Y","N","","Ich weiß nicht was blau und was gelb ist,Stufen fühlen sich gleich an","P fährt in l2, HOD notbremsung,  Eingriff durch Anweisung von vl","A4","A1","","Y","-oth-","Hände ans Lenkrad ","A3","","N","N","N","","","Vollbremsung bei ""notbremsung ""","A4","A5","","Y","-oth-","Hände ans Lenkrad ","N","N","N","","Weiß immer noch nicht wann in automatisierten und wann in assistiert,  Tasten noch nicht ganz verstanden ","","A3","A1","","Y","-oth-","Lenkrad übernehmen ","-oth-","Systemfehler","N","N","N","","","Vollbremsung bei Notbremsung ","A2"
"54","2020-10-13 12:21:08","1","de","","2020-10-13 11:03:11","2020-10-13 12:21:08","68","A2","2020-10-13 11:03:21","A4","A2","A2","","N","","","N","N","","","A1","A5","","Y","-oth-","Zweite und dritte verfügbar ","Y","Y","","","A3","-oth-","Zweite","Y","-oth-","Aufgeleuchten (skala)","N","N","N","","Zwei Stufen verwechselt, deshalb nur in zweiter und noch nicht in automatisiert","","A3","A5","","Y","-oth-","Nächste aufgeleuchtet","Y","Y","","","A1","A3","","N","","","N","N","N","","Geschwindigkeitsregulation vergessen, Fuß auf Gas gelassen,in automatisiert wird Auto schnell unbemerkt schneller","","A1","A3","","Y","A7","","A1","","N","N","","","A1","A3","","N","","","N","N","","","A1","A3","","Y","A4","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A1","A1","","Y","-oth-","Jetzt übernehmen ","A3","","N","N","Y","Übernehmen nicht klar,reichen Hände am Lenkrad? Wechselt das Auto von alleine zu manuell? ","Etwas überrascht mit dem Begriff notbremsung,  als Aufforderung zur notbremsung verstanden","","A3","A1","","Y","","","Y","Y","Y","","","ABBRUCH VERSUCH, ANTWORTEN NUR ZUR BEENDIGUNG DES FRAGEBOGENS","A1","A1","","Y","","","A1","","Y","Y","Y","","","","A1"
"55","2020-10-13 14:51:16","1","de","","2020-10-13 13:57:27","2020-10-13 14:51:16","18","A1","2020-10-13 13:57:43","A3","A2","A1","","N","","","N","N","","","A1","A1","","Y","A3","","N","N","","","A1","A5","","Y","-oth-","Hinweis auf Display ""umschaltbar""","Y","Y","N","","Zwei mal aut auf Tasten irritiert, wieso nicht 1x assistiert?","","A2","A5","","Y","A4","","Y","Y","Jetzt sind die Tasten klar, einmal einschalten und dann wechseln, schafft es nicht während nebenaufgabe nicht auf Straße zu schauen","","A2","A3","","Y","-oth-","Aufforderung in assistiert zu schalten","N","N","N","","","","A1","A3","","N","","","","","N","N","","HOD Meldung als Meldung zur Verfügbarkeit kam","A1","A3","","N","","","Y","N","","","A1","A3","","Y","A4","","Y","Y","Gelbe LEDs an Lenkrad und Anzeige auf Display,  war aber zu schnell wieder weg um zu erkennen ","Anmerkung von p war hod","A1","A5","","Y","-oth-","Umschalten auf automatisiert ","N","Y","N","","Akustischer warnten für HOD gewünscht ","","A1","A5","","Y","-oth-","Weiß nicht,Meldung zu kurz","A3","","Y","Y","N","","Warnung zu kurz","Meldung erst bei Ton gesehen, vorher in nebenaufgabe vertieft ","A1","A5","","Y","A3","","Y","Y","N","","","","A1","A1","","Y","-oth-","Manuell aktiv","A3","","N","N","N","","","","A1"
"56","2020-10-15 09:57:00","1","de","","2020-10-15 08:41:59","2020-10-15 09:57:00","19","A1","2020-10-15 09:05:57","A3","A2","A1","","N","","","N","N","","","A1","A1","","Y","A3","","N","N","","","A1","A5","","N","","","Y","Y","N","","","Korrektur WG spurerkennung nötig,  hat Ablauf aber nicht gestört ","A1","A5","","N","","","Y","Y","","","A1","A3","","N","","","Y","N","N","","","HOD Meldung kam, dann Hände ans Lenkrad genommen","A1","A3","","Y","A7","","A1","","Y","N","","Keine Ahnung ob Hände von Lenkrad entfernen dürfen ","A1","A3","","N","","","Y","N","","","A1","A3","","Y","A4","","Y","N","","","A1","A1","","N","","","N","N","N","","","In manuell geschaltet obwohl Ansage für automatisiert kam","A4","A1","","Y","A7","","A1","","N","N","N","","","Übernehmen mit Händen und Gas versucht ","A2","A5","","Y","A3","","Y","Y","N","","","","A1","A1","","Y","A8","","A1","","N","N","N","","","Übernehmen wieder mit Händen und Gas versucht ","A3"
"57","2020-10-15 12:17:44","1","de","","2020-10-15 11:12:21","2020-10-15 12:17:44","20","A1","2020-10-15 11:12:28","A3","A2","A1","","N","","","N","N","","","A1","A1","","Y","-oth-","Andere zwei verfügbar ","N","N","","","A1","A3","","N","","","N","N","Y","Falsche Taste gedrückt, dachte dass Pfeile für Aktivierung stehen und aus für deaktivieren ","","","A3","A5","","N","","","Y","Y","Fehler in der letzten Fahrt, assistiert statt automatisiert gefahren, keinerlei Blick auf Straße während Tablet Bedienung ","Erst wieder in l2 gestartet,  dann im Laufe der Fahrt korrigiert","A3","A3","","N","","","Y","N","N","","Brauche zum überwachen eigentlich keine Hände, daher Frage mit ja beantwortet ","","A1","A3","","Y","A7","","A1","","N","N","Auto hat aufgefordert Hände an Lenkrad zu nehmen, daher nein, was würde passieren wenn ich aus der Spur raus lenke?","","A1","A3","","N","","","Y","N","Piktogramm zeigt Hände ans Lenkrad und Auto fordert dich auf, aber Auto lenkt ja ganz alleine also wieso muss ich die Hände dran lassen?deshalb Lenkrad nur berührt, verwirrt was hier richtig ist, überwachen und das Piktogram widersprechen sich ","","A1","A3","","Y","-oth-","Autonom verfügbar ","N","N","Muss ich Hände da hin legen wo es blinkt? Gibt das Auto mir ja durch die Position des blinkens vor","","A1","A5","","N","","","Y","Y","N","","","","A1","A1","","N","","","","","N","N","N","","Systemgrenze voraus, ich muss in manuell wechselt, nicht gesagt dass automatisiert nicht mehr verfügbar,  Aufforderung könnte auch untergehen, weil ich so auf nebenaufgabe konzentriert war","","A1","A5","","Y","A2","","Y","Y","N","","","","A1","A1","","Y","A10","","A3","","N","N","Y","Erschrocken von Ton, dann etwas überfordert,  dann erst überlegt zu Bremsen und dann daran erinnert, dass ich den Knopf drücken müsste, weiß nicht ob durch Bremsen übernommen werden kann, daher lieber Knopf um nichts falsch zu machen","","","A1"
"58","2020-10-15 17:05:28","1","de","","2020-10-15 16:17:36","2020-10-15 17:05:28","69","A2","2020-10-15 16:17:43","A3","A2","A1","","N","","","N","N","","","A1","A1","","Y","-oth-","Skala beschrieben ","N","N","","","A1","A5","","N","","","Y","Y","N","","Notbremsung aufgeleuchtet, aber zu unauffällig , Meldung sollte eher in der Mitte sein","","A4","A3","","N","","","N","N","Erst jetzt die Symbole und Level verstanden, Symbole nicht wirklich eindeutig,  blaue Farbe nicht gut gewählt , Warnung Hände an Lenkrad Funktion nicht klar, warnton fehlt","","A4","A3","","Y","-oth-","Wählen zwischen allen Stufe ","N","N","N","","Gelb für automatisiert nicht gut, weil gelb eher vorwarnung, schriftliche Info über aktives Level gewünscht ","","A3","A3","","Y","A7","","A1","","N","N","Dachte bei Meldung erst System müsste übernommen werden, es würde reichen wenn kein Hinweis kommt und ich einfach nicht mehr hochschalten kann, Hinweis betrifft mich in diesem Moment ja nicht","","A1","A3","","N","","","N","N","","","A1","A3","","Y","A4","","N","N","Akustische Ansage gewünscht ","","A1","A5","","N","","","Y","Y","N","","","","A1","A5","","Y","A8","","A1","","Y","Y","N","","Warnhinweis viel zu klein und unauffällig,  erregt gar keine Aufmerksamkeit ","","A1","A5","","Y","A2","","Y","Y","N","","","","A1","A1","","Y","A2","","A1","","N","N","N","","Meldung wieder zu schwach","","A2"
"59","2020-10-16 09:57:01","1","de","","2020-10-16 09:01:12","2020-10-16 09:57:01","70","A2","2020-10-16 09:01:34","A4","A3","A3","","N","","","N","N","","Nachgeschaltet in l3 obwohl laut Skala nicht verfügbar ","A4","A1","","Y","A4","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A1","A5","","N","","","Y","Y","","Linke Hand am Steuer, Grund Gewohnheit und sicherheit","A1","A3","","N","","","N","N","N","","","","A1","A3","","Y","A7","","A1","","N","N","","","A1","A3","","N","","","N","N","","","A1","A3","","Y","A4","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A1","A1","","N","","","","","N","N","N","","Meldung hätte Ton gebraucht","","A2","A5","","N","","","Y","Y","N","","","","A1","A1","","N","","","","","N","N","N","","","Meldung gar nicht gesehen, Aufforderung von VL nach längerer Zeit mit notbremsung Meldung ","A5"
"60","2020-10-16 12:02:17","1","de","","2020-10-16 11:05:22","2020-10-16 12:02:17","21","A1","2020-10-16 11:06:13","A4","A2","A1","","N","","","N","N","","","A1","A1","","Y","-oth-","Beide verfügbar ","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A1","A5","","N","","","Y","Y","","","A1","A3","","N","","","N","N","N","","","","A1","-oth-","Zweite ","Y","-oth-","Dritte ausgefallen ","-oth-","Systemfehler","N","N","","","A1","-oth-","Zweite ","N","","","N","N","","","A1","A3","","Y","A4","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A1","A1","","Y","-oth-","Zweite und dritte ausgefallen","A1","","N","N","Y","Wusste erst nicht ob Knopf drücken, lenken , habe dann gebremst ","Anzeige nur ganz zufällig gesehen, blinken war dann auffälliger,  hätte akustische Signal gewünscht ","","A2","A5","","Y","-oth-","Zweite und dritte verfügbar ","Y","Y","N","","","","A1","A1","","Y","-oth-","Zwei und drei ausgefallen ","A1","","N","N","N","","Nur gebremst, was wäre mit Händen am Lenkrad , warnton war gut","","A1"
"61","2020-10-16 15:52:51","1","de","","2020-10-16 14:59:21","2020-10-16 15:52:51","71","A2","2020-10-16 14:59:45","A4","A2","A1","","N","","","N","N","","","A1","A1","","N","","","N","N","","","A3","A5","","Y","-oth-","Tempomat und Spurgaltung waren aktiv","Y","Y","N","","","","A4","A5","","Y","-oth-","","N","N","","","A4","A5","","N","","","Y","N","N","","Farbe in Display geändert   , aber beim fahren keinen Unterschied bemerkt","","A4","A3","","N","","","","","Y","N","","","A4","A3","","N","","","Y","N","","","A4","A3","","N","","","Y","N","","","A4","A5","","N","","","Y","N","N","","","","A4","A1","","Y","-oth-","Tempomat und Spurgaltung ausgefallen ","A1","","N","N","N","","","P hat nicht selber übernommen  , Auto hat in diesem Moment Spur verloren und System ausgeschaltet ","A3","A5","","N","","","Y","N","N","","","","A4","A5","","N","","","","","Y","N","N","","","In l2 gefahren,  daher tc nicht richtig durchführbar","A4"
"62","2020-10-19 10:06:13","1","de","","2020-10-19 09:26:11","2020-10-19 10:06:13","23","A1","2020-10-19 09:26:24","A2","A1","A1","","N","","","N","N","","","A1","A1","","Y","A3","","N","N","","","A1","A5","","Y","-oth-","Konnte Umschalten ","Y","Y","Y","Wusste nicht genau, dass ich noch zwischen Stufen wechseln muss, dann aber schnell rausgefunden ","","","A3","A5","","Y","-oth-","Konnte Stufe auswählen ","Y","Y","Hinterfrage gerade ob das wirklich automatisiert war, da unterschied so schwer zu erkennen, evtl. Führt das System mich in die irre","Offenbar mal an ähnliche Studien teilgenommen ","A1","A3","","N","","","N","N","N","","","","A1","A3","","Y","A7","","A1","","N","N","","","A1","A3","","N","","","N","N","","","A1","A3","","Y","A4","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A1","A1","","Y","-oth-","Beide nicht verfügbar ","A1","","N","N","Y","Dachte erst solche in andere Stufe wechseln, Befehl ins manuelle zu wechseln erst nicht erkannt ","","","A3","A5","","Y","-oth-","Beide verfügbar ","Y","Y","N","","","","A1","A1","","Y","-oth-","Beide nicht verfügbar ","A1","","N","N","Y","Nochmal assistiert gekommen ","Diesmal nicht per Taste ausmachen, sondern automatisch bei bremsung ","","A2"
"63","2020-10-19 11:50:22","1","de","","2020-10-19 10:29:09","2020-10-19 11:50:22","24","A1","2020-10-19 10:56:40","A2","A2","A1","","N","","","N","N","","","A1","A1","","Y","A3","","N","N","","","A1","A1","","N","","","N","N","Y","Bei beiden automatisiert,  dachte das eine ist automatisiert an und aus , das andere wechseln, da kam die Ansage dass erst assistiert einschalten,  da wusste ich nicht wo ich drücken soll","","Interpretiert Tasten wegen ""aut"" wohl nur für automatisiert ","A4","A5","","Y","-oth-","Beide verfügbar ","Y","Y","","Wechsel beim reset des Level ohne Probleme ","A1","A3","","N","","","N","N","N","","","","A3","A3","","Y","A7","","A1","","N","N","","","A1","A3","","N","","","N","N","","","A1","A3","","Y","A4","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A1","A1","","Y","A8","","-oth-","Systemfehler","N","N","N","","","","A2","A5","","Y","A3","","Y","Y","N","","","","A1","A1","","Y","A8","","A1","","N","N","N","","","","A2"
"64","2020-10-19 17:07:05","1","de","","2020-10-19 15:47:35","2020-10-19 17:07:05","72","A2","2020-10-19 15:47:46","A2","A1","A1","","N","","","N","N","Manuelle fahren aufgrund von Fahrverhalten erkannt ","","A1","A5","","N","","","Y","Y","Aufgrund von fahrzeugverhalten Eindruck von automatisiert , aber auch nicht sicher","","A3","A5","","Y","-oth-","Auto gibt Gas und hält spur","Y","Y","N","","Funktionsweise noch nicht ganz klar ","","A4","A3","","Y","-oth-","Blaues Fahrzeug in Mitte, konstant 30 gefahren ","N","N","","","A4","A3","","Y","-oth-","Gelbe und blaue farben","N","N","Y","Funktionsweise der Tasten noch nicht verstanden","Anzeige noch nicht verstanden,  weiß nicht was automatisiert und was assistiert ist, bringt durcheinander ","","A2","A3","","Y","-oth-","Weiß nicht genau ","A1","","N","N","","","A1","A5","","N","","","Y","Y","","P denkt Fahrzeug verhalten verändert sich, daher Interpretation automatisiert ","A2","A3","","N","","","N","N","Blau ist assistiert und gelb automatisiert ","","A4","A5","","Y","-oth-","Gelbes Auto ","Y","Y","N","","Automatisiertes ist gelb","","A1","A3","","Y","A9","","A3","","N","N","Y","Habe selber Probleme 30kmh zu halten , ","","Beschreibt Anzeige eigentlich schon richtig  interpretiert aktuell Stufe aber immer noch falsch, Übernahme nur WG Aufforderung ","A4","A5","","Y","-oth-","Gelbe anzeige","Y","Y","N","","Kann Skala nicht erkennen, bräuchte lesebrille. Erster Tastendruck ist assistiert (blau),  zweiter ist automatisiert (gelb)","","A1","A1","","N","","","","","N","N","N","","Erst jetzt rausgefunden wie ich in automatisiert komme und auch wieder in manuell ","Übernahme nur auf Aufforderung durch vl","A4"
"65","2020-10-20 09:49:36","1","de","","2020-10-20 09:15:53","2020-10-20 09:49:36","25","A1","2020-10-20 09:16:02","A1","A1","A1","","N","","","N","N","","","A1","A1","","Y","A3","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A1","A5","","N","","","Y","Y","","","A1","A3","","N","","","N","N","N","","","Bedient surt, sagt dann aber dass er das nicht durfte","A1","A3","","Y","A7","","A1","","N","N","","","A1","A3","","N","","","N","N","","","A1","A3","","Y","A4","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A1","A1","","Y","A8","","A1","","N","N","N","","Was heißt systemgrenze? Nicht eindeutig verständlich , einfachere erklärung gewünscht, systemgrenze würde für mich heißen dass das Auto von außen manipuliert wird","","A1","A5","","Y","A3","","Y","Y","N","","","","A1","A1","","Y","A8","","-oth-","Systemfehler","N","N","N","","Ton und rote Symbol verleiten zum Bremsen ","Reaktion sehr reflexartig ","A1"
"66","2020-10-20 12:17:50","1","de","","2020-10-20 11:26:06","2020-10-20 12:17:50","26","A1","2020-10-20 11:26:15","A2","A2","A1","","N","","","N","N","","","A1","A5","","Y","A3","","Y","Y","","Dachte Auto wäre in automatisierten fahren","A3","A5","","Y","-oth-","Angezeigt dass im automatisierten fahren","Y","Y","Y","Drücken der Tasten nicht ganz klar ","","","A3","A5","","Y","-oth-","Umschalten in automatisiert","Y","Y","Jetzt auch Füße vom Gas gelassen, Einschätzung bei Fahrt vorhin (tc2) war falsch ","","A1","A3","","Y","-oth-","Hände ans Lenkrad,  kein Gas geben","N","N","N","","Auto lenkt eher nach rechts, ich fahre immer eher mittig oder links ","","A1","A3","","N","","","","","N","N","Am Anfang nicht direkt richtig, kurz verschaltet, könnte aber schnell korrigieren. Allgemein schaue ich wesentlich mehr aufs Display ","","A2","A3","","N","","","N","N","","","A1","A3","","Y","A3","","N","N","Unsicher ob Hände wegnehmen , Meldung dass automatisiert Verfügbar kam genau dann als ich Hände entfernt habe, also eher doch dran lassen","","A1","A5","","Y","-oth-","Umschalten in andere stufen","Y","Y","Y","Vom ausführen her nein, habe aber falsch auf Ansage reagiert ","","","A3","A1","","Y","A10","","-oth-","Systemübersteuerung","N","N","N","","","Erst bei Ton reagiert ","A2","A3","","Y","A4","","Y","Y","N","","Schaue aufgrund der vorherigen Fahrt öfter auf Display,  kann ja sein dass ich eingreifen muss","","A1","A1","","Y","-oth-","Zu manuell übernehmen ","A2","","N","N","N","","Gab es einen Countdown?  Wenn ja dann übersehen. Bei Rot erschrocken und abgebremst, hätte wahrscheinlich direkt weiter fahren sollen","Auf Anzeige hin fast zum stehen gekommen ","A1"
"67","2020-10-20 15:14:30","1","de","","2020-10-20 14:20:11","2020-10-20 15:14:30","27","A1","2020-10-20 14:20:22","A2","A1","A1","","N","","","N","N","","","A1","A1","","N","","","N","N","","Bei Anzeige kurz geschaut ob automatisiert fährt","A2","A3","","Y","-oth-","Spur selber gehalten","N","N","N","","","Nur in l2 gefahren,  ohne Hände am Lenkrad,  HOD Meldung ignoriert, erst auf VL Aufforderung übernommenen ","A5","A5","","Y","-oth-","Weder Gas geben  noch lenken nötig","Y","Y","","","A1","A1","","Y","-oth-","Bin manuell gefahren ","N","N","N","","","Bei Aufforderung in manuell geschaltet,  dann auch dem Fehler bewusst, trotzdem nicht korrigiert,  weil ""Strecke war dann zu kurz"" . Hinweis von VL, dass bis zum Schluss gehandelt werden soll/darf","A4","A3","","Y","-oth-","Lenkt wieder zurück in spur","A3","","N","N","Muss Augen auf der Straße lassen, was wenn Gegenstände auf Straße auftauchen ","","A2","A3","","N","","","N","N","","","A1","A5","","Y","-oth-","Hände nicht mehr an Lenkrad ","Y","Y","","Schaltet unaufgefordert in l3","A4","A5","","Y","-oth-","Nicht mehr Hände ans Lenkrad ","N","N","N","","","Frage mit hände: im assistierten fahren nein, obwohl oben automatisierten gesagt,habe den Eindruck  dass P die Stufen durcheinander bringt","A1","A5","","Y","-oth-","Musste manuell fahren","-oth-","Systemfehler","N","Y","N","","","","A2","A3","","Y","-oth-","Spurgaltung und tempomat ","N","N","N","","","Fährt in l2 obwohl Ansage für l3","A4","A5","","N","","","","","Y","Y","N","","","Hatte Sensorfehler eigentlich schon erwähnt,  Frage trotzdem mit nein beantwortet,  keine Ahnung warum er bei 1 automatisiert nennt","A1"
