"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","VPNr","HMI","Datum","UsabilityMetric[SQ001]","UsabilityMetric[SQ002]","UsabilityMetric[SQ003]","UsabilityMetric[SQ004]","SUS1[SQ001]","SUS1[SQ002]","SUS1[SQ003]","SUS1[SQ004]","SUS1[SQ005]","SUS1[SQ006]","SUS1[SQ007]","SUS1[SQ008]","SUS1[SQ009]","SUS1[SQ010]","TuA[SQ001]","TuA[SQ002]","UEQ[SQ001]","UEQ[SQ002]","UEQ[SQ003]","UEQ[SQ004]","UEQ[SQ005]","UEQ[SQ006]","UEQ[SQ007]","UEQ[SQ008]","UEQ[SQ009]","UEQ[SQ010]","UEQ[SQ011]","UEQ[SQ012]","UEQ[SQ013]","UEQ[SQ014]","UEQ[SQ015]","UEQ[SQ016]","UEQ[SQ017]","UEQ[SQ018]","UEQ[SQ019]","UEQ[SQ020]","UEQ[SQ021]","UEQ[SQ022]","UEQ[SQ023]","UEQ[SQ024]","UEQ[SQ025]","UEQ[SQ026]","GutGefallen","NichtGefallen","Verbessern","Anmerkungen","AnstrengendWenden[SQ001]","Uebel[SQ001]","AllgAnregungen"
"8","2020-09-28 12:21:05","1","de","","2020-09-28 12:11:09","2020-09-28 12:21:05","01","HC_HMI","2020-09-28 12:11:18","5","3","5","3","3","2","Stimme voll zu - 5","Stimme gar nicht zu - 1","3","3","4","2","3","2","4","4","4","5","1","3","2","6","6","4","2","2","6","3","6","5","5","5","3","2","4","6","3","5","4","3","3","6","Far signals unterstützen den Fahrer. Intuitive Nutzung. Einfache Bedienung. ","Farbkodierung der Modi unterschiedlich zur Vorbereitung. Verfügbarkeit der Stufen sollte nicht grau sein sondern mit Farbkodierung einheitlich. Fehler und Warnung etwas überladen. Blinkende Elemente von Text entkoppelt. Aktive Modi vielleicht weiter oben anzeigen. Verschwinden leichthinter Lenkrad. ","Siehe was nicht gefallen. ","","1","1",""
"9","2020-09-28 15:13:51","1","de","","2020-09-28 15:08:16","2020-09-28 15:13:51","50","LC_HMI","2020-09-28 15:08:30","6","Stimme gar nicht zu - 1","Stimme voll zu - 7","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme voll zu - 5","6","7","3","1","1","7","7","6","2","3","7","2","7","6","5","7","1","4","2","6","1","7","3","1","2","4","","Sichtbarkeit der Warnungen","Ein Signalton könnte helfen wenn man das Steuer übernehmen muss","","1","1",""
"11","2020-09-29 17:30:34","1","de","","2020-09-29 17:15:15","2020-09-29 17:30:34","52","LC_HMI","2020-09-29 17:15:22","Stimme gar nicht zu - 1","Stimme voll zu - 7","3","Stimme voll zu - 7","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","Stimme gar nicht zu - 1","3","4","3","2","Stimme gar nicht zu - 1","3","Stimme gar nicht zu - 1","Stimme gar nicht zu - 1","2","2","6","4","5","4","4","1","4","5","2","6","2","1","4","1","6","4","7","4","2","4","3","4","6","6","Teilweise klare Anweisung ","Anweisung kommen aus bedienelement auf welches ich im assistierten Modus wenig und im automatisierten Modus gar nicht schaue. Wechsel von manuell direkt auf autonom nicht möglich. Vertrauensverlust in automatisierten Modus , da man trotzdem noch dabei bleiben muss um Befehle entgegenzunehmen. Also kaum Unterschied zum assistierten Modus ","Direkte Wechselmöglichkeit von manuell zu automatisiert. Befehl für Übernahme auf Tablett und windschutzscheibe im blickfeld zeigen . Kombination mit Ton erhöht Aufmerksamkeit","Kein komfortgewinn für Fahrer im automatisierten Modus","1","1",""
"12","2020-09-29 10:05:35","1","de","","2020-09-29 09:58:00","2020-09-29 10:05:35","2","HC_HMI","2020-09-29 09:58:14","6","2","6","2","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","Stimme voll zu - 5","3","Stimme voll zu - 5","Stimme voll zu - 5","7","7","3","1","1","5","7","7","2","4","6","2","6","7","6","6","2","4","2","6","1","7","1","2","1","6","Design. Hinweise zur uebernahme","","","","1","1",""
"13","2020-09-29 12:14:24","1","de","","2020-09-29 11:46:43","2020-09-29 12:14:24","51","LC_HMI","2020-09-29 11:47:30","5","Stimme gar nicht zu - 1","6","3","3","2","4","Stimme gar nicht zu - 1","4","2","4","2","3","Stimme gar nicht zu - 1","4","Stimme voll zu - 5","5","5","4","2","2","5","5","4","2","3","6","3","6","5","7","5","4","2","4","5","2","6","5","3","3","6","Bedienung über nur zwei Knöpfe. ","Wenig aussagekräftige Farben blau und gelb. ","Akustische Signale wie z. B. ""Vollbremsung"" ","","1","1",""
"14","2020-09-29 15:23:39","1","de","","2020-09-29 14:59:13","2020-09-29 15:23:39","3 ","HC_HMI","2020-09-29 14:59:26","6","Stimme gar nicht zu - 1","6","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","2","3","Stimme gar nicht zu - 1","4","2","3","3","5","6","3","1","2","4","4","7","4","4","6","2","6","4","5","6","2","2","3","6","2","5","2","2","2","5","Angenehme Stimme ","","","","1","1",""
"16","2020-10-01 10:35:29","1","de","","2020-10-01 10:24:32","2020-10-01 10:35:29","53","LC_HMI","2020-10-01 10:24:39","4","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","3","2","3","Stimme gar nicht zu - 1","2","Stimme gar nicht zu - 1","2","3","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme voll zu - 5","Stimme voll zu - 5","4","3","4","4","4","6","6","4","4","7","6","3","5","5","7","6","1","4","4","4","7","5","4","5","3","7","Automatisiertes fahren ","Anzeige und Aufmerksamkeit sehr klein bei Änderu ge ","Sprech Ansage wie imCocpit wären sehr hilfreich ","","1","1","Testfahrtn waren zu kurz"
"17","2020-10-01 12:28:53","1","de","","2020-10-01 12:00:41","2020-10-01 12:28:53","54","LC_HMI","2020-10-01 12:01:09","3","2","5","3","3","2","4","Stimme gar nicht zu - 1","4","2","4","2","3","2","3","3","6","5","3","3","5","4","6","6","2","5","6","2","5","4","7","6","5","3","4","5","3","5","2","4","5","6","Relativ einfach zu bedienen","Am Anfang verwirrend","Akustische Unterstützung wäre hilfreich","Fahrerlebnis war bei assistirtem und autonomen Fahren identisch","1","1",""
"18","2020-10-01 17:16:34","1","de","","2020-10-01 16:49:14","2020-10-01 17:16:34","56","LC_HMI","2020-10-01 16:50:08","5","Stimme gar nicht zu - 1","Stimme voll zu - 7","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","Stimme voll zu - 5","6","7","4","1","1","7","7","6","1","2","7","1","7","7","7","7","1","4","1","7","1","6","1","1","1","7","Visuelle Darstellung der modi","Visuell reizgebung bei ""Probleme"". ","Besonders bei gegenlicht waren die Aufforderungen in grau nur schwer zu erkennen Farben wären gut","","1","1",""
"19","2020-10-02 10:11:25","1","de","","2020-10-02 10:02:28","2020-10-02 10:11:25","04","HC_HMI","2020-10-02 10:02:40","Stimme voll zu - 7","2","Stimme voll zu - 7","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","4","4","5","1","4","1","2","4","5","3","4","5","6","2","7","5","3","5","2","4","2","6","1","4","2","2","2","5","Einfach zu lernen und bedienen","Nicht klar was der untereinander zwischen assistiertes und automatisiertes fahren war. Außer Hände am Lenkrad als Bedingung scheinen die Funktionalitäten gleich zu sein","Mehr Informationen zu den Funktionalitäten der Stufen","Keine","1","1","Keine"
"20","2020-10-02 12:24:25","1","de","","2020-10-02 12:16:53","2020-10-02 12:24:25","05","HC_HMI","2020-10-02 12:17:03","6","Stimme gar nicht zu - 1","Stimme voll zu - 7","2","3","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","3","2","7","7","2","1","1","7","7","4","1","1","7","2","7","6","7","7","4","1","1","6","1","4","1","1","1","7","Tolles Auto","Das SMS Geräusch als warnhinweis. Das selbe Geräusch bei unterschiedlichen warnhinweisen.","","","1","1",""
"21","2020-10-02 15:17:06","1","de","","2020-10-02 15:04:24","2020-10-02 15:17:06","06","HC_HMI","2020-10-02 15:04:47","6","Stimme gar nicht zu - 1","Stimme voll zu - 7","3","4","2","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","4","2","4","3","6","6","4","2","4","3","3","7","1","4","6","2","5","5","3","5","2","4","3","5","2","5","2","4","4","4","Es waren nur die wichtigsten Infos angezeigt, nicht überladen, klar strukturiert durch Aufteilung in drei Bereiche","Farbgestaltung und Knopfbelegung (siehe nächster Punkt) ","Ich fände es intuitiver wenn Farben getauscht wären, sodass grün automatisiert bedeutet, weil grün signalisiert, dass alles in Ordnung ist und man frei handeln darf wie man möchte. Das Blau hat weder eine positive noch eine negative Bedeutung, deshalb passt es gut für den assistieren Zustand. Außerdem könnte man die Knopfbelegung anders gestalten, sodass man direkt vom manuellen zum assistierten Zustand schalten kann (zb ein Knopf für assistiert, einer für automatisiert und für manuell kann man ja übersteuern) ","","1","1","Sehr viel Input auf einmal"
"22","2020-10-02 17:07:31","1","de","","2020-10-02 17:00:15","2020-10-02 17:07:31","57","LC_HMI","2020-10-02 17:00:30","Stimme voll zu - 7","Stimme gar nicht zu - 1","Stimme voll zu - 7","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","2","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","Stimme voll zu - 5","7","7","2","1","1","6","7","5","1","2","6","2","7","7","5","7","2","4","2","6","1","5","2","1","1","7","Das Gefühl, man muss nicht seine Augen überall haben. Es wirkte erleichternd.","Systemausfälle","Höhere Farbkontraste zwischen ""verfügbar"" und ""Nicht verfügbar"" der Symbole im Display","Es war eine spannende Sache, die ich mir in meinem Auto sehr gut vorstellen könnte. ","1","1","Eventuell mehr Reklame. Ich habe nur über Dritte davon erfahren. Viel Erfolg mit der Studie!"
"23","2020-10-05 11:04:23","1","de","","2020-10-05 10:45:00","2020-10-05 11:04:23","07","HC_HMI","2020-10-05 10:45:08","Stimme voll zu - 7","2","6","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","4","2","3","Stimme gar nicht zu - 1","4","2","4","3","4","4","6","5","5","2","4","6","7","6","2","4","6","2","5","5","6","6","1","3","2","6","3","4","2","2","2","6","Daß man nebenbei beim Automatisierten Verfahren etwas anderes machen kann.","Daß die eine Angabe ""Systemfehler"" zu kurz zu sehen war.","S. Anmerkung vorher. ","","1","1","Bessere Brille, die nicht so weh tut und mit der nicht das Display so verdeckt ist, daß man dauernd den Kopf bewegen muß, um etwas auf dem Display zu erkennen. - Fragen beim abschließenden Fragebogen genauer formulieren."
"24","2020-10-05 12:10:05","1","de","","2020-10-05 12:02:55","2020-10-05 12:10:05","58","LC_HMI","2020-10-05 12:03:04","Stimme voll zu - 7","Stimme gar nicht zu - 1","Stimme voll zu - 7","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","Stimme voll zu - 5","2","Stimme voll zu - 5","4","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","4","Stimme voll zu - 5","6","5","5","1","2","4","5","5","2","4","6","2","6","5","6","6","2","6","1","6","1","7","1","2","2","5","Angenehme Bedienung ","Veränderungen werden wenig/gar nicht über Ton angezeigt","Aktiv Töne wenn das automatisierte fahren ausfällt/Fahrer übernehmen muss","Sehr interessant ","1","1",""
"25","2020-10-05 15:35:05","1","de","","2020-10-05 15:17:18","2020-10-05 15:35:05","08","HC_HMI","2020-10-05 15:17:29","4","Stimme gar nicht zu - 1","Stimme voll zu - 7","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","Stimme voll zu - 5","6","6","3","1","2","4","6","7","1","3","7","2","7","5","2","6","1","4","1","7","1","5","3","2","2","4","Alles wie bei aktuellen Systemen. Besser als bei aktuellen Systemen ist die nicht mehr notwedige Lenkrad Bedienung. ","Muss halt besser in der gesamten Displayanzeige integriert werden. ","Siehe oben. ","Nein","1","1","Nein"
"26","2020-10-05 17:15:59","1","de","","2020-10-05 17:07:29","2020-10-05 17:15:59","59","LC_HMI","2020-10-05 17:07:39","3","Stimme gar nicht zu - 1","6","Stimme gar nicht zu - 1","Stimme voll zu - 5","2","4","Stimme gar nicht zu - 1","4","2","2","Stimme gar nicht zu - 1","4","3","Stimme voll zu - 5","Stimme voll zu - 5","6","6","2","2","1","5","6","3","2","3","6","1","5","7","6","6","6","5","4","7","2","5","1","2","3","5","Symbole waren nach kurzer Eingewöhnungszeit gut verständlich, das System sehr aufgeräumt und nicht überladen ","Dass man nicht mehr auf Verfügbarkeitswechsel aufmerksam gemacht wurde","Bitte Signaltöne für Verfügbarkeitswechsel einführen","","2","1",""
"27","2020-10-06 10:03:17","1","de","","2020-10-06 09:45:47","2020-10-06 10:03:17","9","HC_HMI","2020-10-06 09:46:13","2","5","5","Stimme gar nicht zu - 1","4","2","4","Stimme gar nicht zu - 1","4","4","4","2","4","3","4","Stimme voll zu - 5","6","5","6","3","7","5","6","6","7","3","6","2","3","7","7","6","2","6","5","5","1","7","1","2","2","6","Sehr simple, auf das nötigste beschraenkt","Von manuell zu automatisiert muss nicht durchgeschaltet, sondern erst assistiert eingeschaltet werden, das erscheint aufgrund der Aufregung der drei Symbole nicht logisch. Zuden ist die on/off Taste ebenfalls mit AUT beschriftet, obwohl sie nur zu Ass führt?! Es hat oftmals an akustischer Information gefehlt. ","Ton an! Zu drueckende Taste für Wechsel der Stufen zwischen die Symbole im Kombi packen, dann weiß man über welche Taste der weg zu welchem Modus führt ","","1","1",""
"28","2020-10-06 12:08:09","1","de","","2020-10-06 11:57:04","2020-10-06 12:08:09","10","HC_HMI","2020-10-06 11:57:15","6","Stimme gar nicht zu - 1","6","2","4","Stimme gar nicht zu - 1","Stimme voll zu - 5","2","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","4","2","4","3","6","6","2","3","1","5","6","5","1","1","6","1","6","7","7","6","3","4","2","7","2","5","2","1","2","6","Nur wenige bedienelemente für viele Funktionen. Auditive und visuelle Hinweise gut. Besonders wenn schnell eingegriffen werden muss auditiv. Gut fandich auch die unterschiedlichen Farben der Stufen. ","Etwas verwirrend wenn Verfügbarkeiten sich ändern aber das wäre bei realfahrt glaube ich nicht so verwirrend. ","","","1","2","Ne hat spaß gemacht :) "
"29","2020-10-06 17:11:02","1","de","","2020-10-06 16:55:19","2020-10-06 17:11:02","61","LC_HMI","2020-10-06 16:55:28","5","2","Stimme voll zu - 7","3","Stimme gar nicht zu - 1","Stimme gar nicht zu - 1","Stimme voll zu - 5","2","4","3","Stimme voll zu - 5","Stimme gar nicht zu - 1","3","Stimme gar nicht zu - 1","2","3","6","7","3","1","4","6","7","2","1","2","7","4","7","5","7","5","4","6","2","5","3","4","2","1","1","7","Die Unterstützung beim Fahren ist sehr interessant und ies kann für einige Menschen eine große erleichterung sein. Die Anzeigen waren gut sichtbar und klar verständlich. ","Die zu ändernden Anweisungen sollten mit einem Ton hinterlegt werden. Da unser Bsp. Dem Emails beantworten diese untergehen können. ","","","2","1","Gut organisiert. Jedoch sollte Automatisiertes Fahren nicht nur auf geraden Strecken getestet werden. Ebenfalls wäre es gut mit Hindernissenversuche zu starten. "
"31","2020-10-06 15:01:46","1","de","","2020-10-06 14:52:33","2020-10-06 15:01:46","60","LC_HMI","2020-10-06 14:52:41","6","3","Stimme voll zu - 7","3","4","2","Stimme voll zu - 5","2","3","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","3","2","4","Stimme voll zu - 5","6","7","2","2","3","2","6","6","2","3","4","2","6","4","5","5","3","5","3","5","4","6","3","2","4","5","G6t aufgeräumte Informationen. Klare Trennung der Funktionen der  Automatisierung.","Anzeige rechts zu viele unterschiedliche informationstypen.","Warnmeldungen etwas exponierter und nicht über die Anzeige rechts.","Schönes Display ","1","1","Farben erklärung und Display passen nicht ganz (blau, grün). Versuchsdurchführung und Erklärungen sehr gut. Betreuung sehr gut"
"32","2020-10-08 10:14:14","1","de","","2020-10-08 09:58:49","2020-10-08 10:14:14","62","LC_HMI","2020-10-08 09:58:59","5","Stimme gar nicht zu - 1","Stimme voll zu - 7","2","4","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","2","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","3","4","6","7","3","1","3","5","6","7","3","4","6","1","7","6","5","7","4","6","1","6","1","6","1","2","2","5","Sehr spannende Erfahrung, leichte Bedienung, leicht verständlich","Noch nicht ganz durchdacht. ","Auditives signal bei bremsung","","2","1","Sehr interessant"
"33","2020-10-08 12:33:16","1","de","","2020-10-08 12:22:43","2020-10-08 12:33:16","11","HC_HMI","2020-10-08 12:22:50","4","3","4","2","2","2","3","2","3","3","2","2","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","2","5","2","2","5","2","6","6","2","2","2","4","3","2","5","6","4","6","3","3","5","6","4","2","3","4","5","Die innovation","Technische umsetzung","Intuitivere Bedienung erforderlich","","1","1","Dran bleiben. Idee super. Umsetzung schafft noch kein vertrauen"
"34","2020-10-08 17:08:22","1","de","","2020-10-08 16:58:12","2020-10-08 17:08:22","63","LC_HMI","2020-10-08 16:58:23","6","Stimme gar nicht zu - 1","Stimme voll zu - 7","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme voll zu - 5","7","7","4","1","1","4","7","7","1","4","7","1","7","7","4","7","1","1","1","7","1","7","1","1","1","4","Funktiert wie erwartet, es sollte ein akustisches Signal geben, wenn man übernehmen muss hat Spass gemacht","Manueller Button ist überflüssig","So","Super","4","1",""
"35","2020-10-09 10:24:44","1","de","","2020-10-09 10:15:00","2020-10-09 10:24:44","64","LC_HMI","2020-10-09 10:15:09","5","2","6","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","2","4","Stimme voll zu - 5","6","7","2","1","1","7","7","6","1","2","7","2","6","7","7","6","3","4","2","6","3","5","2","2","2","6","Einfache Bedienung, leicht verstaendlich","Kein Signalton bei Ausfall eines Systems, oder beim Einleiten einer Notbremsung. Im automatisierten fahren ist der Fahrer unter Umständen derartig abgelenkt dass er die eingeblendeten Warnhinweise im Display ohne akustische Unterstützung nicht wahrnimmt. ","Warnhinweise im Display mit einem Signalton verbinden","","1","1",""
"36","2020-10-09 12:51:43","1","de","","2020-10-09 12:26:19","2020-10-09 12:51:43","65","LC_HMI","2020-10-09 12:26:29","6","Stimme gar nicht zu - 1","6","2","4","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","2","4","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","4","7","7","4","1","1","5","7","6","4","3","6","1","7","7","5","6","2","4","1","6","2","6","1","2","2","6","Sehr intuitiv/einfach zu erlernen; nicht aufdringlich; übersichtlich","Fehlender Warnton o. visuelle Warnsignale, wenn in manuelles fahren umgeschaltet werden muss o. es Sensorfehler gibt. ","Wenn vom automatisierten fahren ins manuelle gewechselt werden muss: evtl. deutlichere Signale. ","","1","1","Eyetracker etwas unangenehm: drück auf der Nase. In der Studie achtet man vermutlich häufiger auf die Displayanzeige als bei einer realen länger andauernden Fahrt. Besonders wenn im automatisierten Modus mit Nebenbeschäftigung gefahren wird. "
"37","2020-10-09 15:16:07","1","de","","2020-10-09 15:09:01","2020-10-09 15:16:07","13","LC_HMI","2020-10-09 15:09:11","6","2","6","2","4","2","4","2","4","2","3","2","4","2","3","3","5","6","3","2","3","4","5","6","2","3","5","2","6","5","5","6","3","4","2","5","3","5","2","4","3","5","Das Display. ","","","","1","1",""
"38","2020-10-09 17:22:27","1","de","","2020-10-09 17:06:39","2020-10-09 17:22:27","14","HC_HMI","2020-10-09 17:06:47","5","2","6","Stimme gar nicht zu - 1","Stimme voll zu - 5","2","4","Stimme gar nicht zu - 1","4","2","4","Stimme gar nicht zu - 1","4","2","4","Stimme voll zu - 5","6","5","6","1","1","2","6","5","2","6","7","2","6","5","2","6","2","5","1","5","3","6","3","2","2","4","Redundante Licht-, Anzeige- und Tonsignale","doppelte Anzeige für aktive und verfügbare Automatisierungsstufen, Bündelung in einfache Symbolik an einer Stelle besser, Hinweise zur Verfügbarkeit sollte dauerhaft (als Symbol) angezeigt bleiben, Gründe für Systemausfall oder Fallback sind für den Fahrer erst einmal irrelevant (Anzeige in Systemlogmöglich) ","Siehe vorherige Frage","Keine","2","1","Sonnenstand u. U. schwierig für Ablesbarkeit der Displays"
"39","2020-10-12 15:02:48","1","de","","2020-10-12 14:55:42","2020-10-12 15:02:48","16","HC_HMI","2020-10-12 14:55:52","5","2","5","2","4","2","4","Stimme gar nicht zu - 1","Stimme voll zu - 5","2","4","Stimme gar nicht zu - 1","3","2","4","4","6","5","4","2","3","6","6","5","1","5","6","2","6","4","4","5","2","3","3","6","2","5","1","2","2","5","Nur 3 wichtige Symbole (unterstützungsmodus)   und das Licht am Lenkrad bei Veränderung der verfügbarkeit","Veränderungen des Systems bekommt man nicht gut mit, außer es ist gleich ein unangenehmer Ton (Sehr alarmierend)","Durch angenehmen Ton auf verfügbarkeitswechsel hinweisemn","","1","1",""
"40","2020-10-12 10:07:46","1","de","","2020-10-12 09:58:39","2020-10-12 10:07:46","66","LC_HMI","2020-10-12 09:58:47","2","4","Stimme voll zu - 7","2","Stimme gar nicht zu - 1","2","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","Stimme voll zu - 5","Stimme voll zu - 5","Stimme gar nicht zu - 1","3","Stimme gar nicht zu - 1","Stimme gar nicht zu - 1","2","3","5","5","2","3","2","2","2","3","6","4","6","6","3","4","5","7","5","4","2","7","6","1","2","3","3","Übersichtlich, intuitiv, Möglichkeit zur nebenbeschäftigung","Fehleranfällig, ergo kein Vertrauen in System entwickelt, daher keine Chance zur nebenaufgabe","Klarere Handlungsanweisung","","1","1",""
"41","2020-10-12 12:07:45","1","de","","2020-10-12 12:01:20","2020-10-12 12:07:45","15","HC_HMI","2020-10-12 12:01:38","5","2","2","Stimme gar nicht zu - 1","4","3","2","Stimme gar nicht zu - 1","2","Stimme gar nicht zu - 1","3","4","4","2","4","Stimme voll zu - 5","6","3","6","6","2","6","5","4","2","6","5","2","2","3","5","6","2","2","2","7","2","6","2","4","5","2","Direkte akustische Resonanz bei erderlichem Eingreifen","Kälte Darstellung, wenig aufregend","Mehr Spielfektor","","1","1",""
"42","2020-10-12 16:56:33","1","de","","2020-10-12 16:51:04","2020-10-12 16:56:33","17","HC_HMI","2020-10-12 16:51:12","5","Stimme gar nicht zu - 1","Stimme voll zu - 7","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","3","Stimme voll zu - 5","6","7","2","1","2","7","7","4","1","5","7","1","7","7","6","7","3","4","1","7","1","7","1","1","1","7","","Die Kurskorrektur nach rechts. Irritiert am Anfang ein wenig ","","","1","1",""
