"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","VPNr","HMI","Datum","UsabilityMetric[SQ001]","UsabilityMetric[SQ002]","UsabilityMetric[SQ003]","UsabilityMetric[SQ004]","SUS1[SQ001]","SUS1[SQ002]","SUS1[SQ003]","SUS1[SQ004]","SUS1[SQ005]","SUS1[SQ006]","SUS1[SQ007]","SUS1[SQ008]","SUS1[SQ009]","SUS1[SQ010]","TuA[SQ001]","TuA[SQ002]","UEQ[SQ001]","UEQ[SQ002]","UEQ[SQ003]","UEQ[SQ004]","UEQ[SQ005]","UEQ[SQ006]","UEQ[SQ007]","UEQ[SQ008]","UEQ[SQ009]","UEQ[SQ010]","UEQ[SQ011]","UEQ[SQ012]","UEQ[SQ013]","UEQ[SQ014]","UEQ[SQ015]","UEQ[SQ016]","UEQ[SQ017]","UEQ[SQ018]","UEQ[SQ019]","UEQ[SQ020]","UEQ[SQ021]","UEQ[SQ022]","UEQ[SQ023]","UEQ[SQ024]","UEQ[SQ025]","UEQ[SQ026]","GutGefallen","NichtGefallen","Verbessern","Anmerkungen","AnstrengendWenden[SQ001]","Uebel[SQ001]","AllgAnregungen"
"43","2020-10-13 10:08:37","1","de","","2020-10-13 10:00:43","2020-10-13 10:08:37","67","LC_HMI","2020-10-13 10:00:53","4","2","6","2","3","2","Stimme voll zu - 5","4","Stimme gar nicht zu - 1","4","4","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","4","5","1","4","2","3","4","6","2","4","4","5","4","6","5","7","6","4","3","4","5","6","4","2","2","2","4","Automatisiertes fahren mit kontrollabgabe","Es herrschte Unklarheit bzgl der Tasten bessre ","Bessere Kennzeichnung der Funktionstasten","","1","1",""
"44","2020-10-13 12:18:40","1","de","","2020-10-13 12:09:47","2020-10-13 12:18:40","68","LC_HMI","2020-10-13 12:10:01","3","4","4","2","3","2","3","2","4","3","4","2","3","2","4","4","5","3","5","2","3","5","5","5","3","4","5","3","5","5","3","3","6","5","3","5","5","5","3","5","5","3","Selbstständige lenkung","Anweisungen vom System während der Fahrt waren leicht zu ubersehen","Akustische Signale oder haptische Signale Bsp vibrirrendes lenkrad","Anfangs kompliziert aber schnell lerbnbar","1","1",""
"45","2020-10-13 14:58:36","1","de","","2020-10-13 14:53:16","2020-10-13 14:58:36","18","HC_HMI","2020-10-13 14:53:24","5","3","3","5","3","3","2","Stimme gar nicht zu - 1","4","2","2","2","2","4","4","4","5","3","2","5","3","5","6","7","3","3","6","2","3","6","7","5","2","6","2","6","4","5","4","2","5","7","Macht neugierig","0zu schnelle Un d zu Kürze Inserts","So","","1","1",""
"46","2020-10-15 12:25:51","1","de","","2020-10-15 11:52:12","2020-10-15 12:25:51","20","HC_HMI","2020-10-15 11:52:59","3","5","5","5","Stimme gar nicht zu - 1","3","2","3","2","3","3","2","3","3","Stimme voll zu - 5","4","6","4","3","2","2","6","6","3","2","3","4","2","3","5","5","4","4","3","3","5","6","3","5","3","3","4","Leuchten am Lenkrad. ","Laute Ton. Kurze anzeigezeit. Zu lange Texte. Uneideutige pictogramme","Weniger pictogramme. Längere anzeigen. Eideutegebpictogramme","Nein","1","1",""
"47","2020-10-15 17:15:58","1","de","","2020-10-15 16:57:17","2020-10-15 17:15:58","69","LC_HMI","2020-10-15 16:57:56","3","2","5","6","2","2","4","Stimme gar nicht zu - 1","3","3","4","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","Stimme gar nicht zu - 1","2","4","7","5","2","4","6","6","3","2","5","4","4","6","4","5","5","6","5","6","2","4","5","2","4","4","4","Einfache bedienung","Erfordert trotzdem ohne aufmerksamkeit. Unklare Symbolik. Schlechte Warnhinweise bei Ausfall. Keine akustischen hinweise","Klare Symbolik. Für manuelles fahren ist kein Symbol notwendig. Akustische Hinweise u ansagen. Klare Fehlermeldungen sowohl akustisch als auch rote warnanzeige","","1","1","Vielen dank"
"48","2020-10-15 10:04:02","1","de","","2020-10-15 09:58:00","2020-10-15 10:04:02","19","HC_HMI","2020-10-15 09:58:07","6","2","6","2","3","2","4","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","4","2","4","2","4","4","5","5","4","3","3","5","5","5","2","5","6","2","6","6","6","6","6","3","3","6","2","5","2","3","3","5","Einfache Bedienbarkeit über das Lenkrad","Bei Nichtverfügbarkeit der Automationsstufe unverständliches Übernehmen des manuelles Fahrens","-","-","2","1",""
"49","2020-10-16 10:11:19","1","de","","2020-10-16 09:58:25","2020-10-16 10:11:19","70","LC_HMI","2020-10-16 09:58:34","2","Stimme gar nicht zu - 1","Stimme voll zu - 7","5","4","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","2","4","2","3","Stimme gar nicht zu - 1","2","4","7","7","3","7","2","4","5","6","4","5","6","2","6","5","5","7","4","5","2","7","1","7","1","2","4","3","Dieeinface Symbolik und Farbunterschedung der Automatisierungsstufen. Das minimalistische Design ist angenehm","Status Änderungen sind ebenfalls sehr unauffällig und heben sich nur wenig vom restlichen Display ab","Ein Audio Anreiz bei der Änderung von Verfügbarkeiten (Warntöne). Außerdem eine Farbliche abhebung der Statusmeldungen vom restlichen Display","Nein","1","1",""
"50","2020-10-16 12:20:13","1","de","","2020-10-16 12:03:51","2020-10-16 12:20:13","21","HC_HMI","2020-10-16 12:03:01","6","Stimme gar nicht zu - 1","Stimme voll zu - 7","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","4","Stimme voll zu - 5","7","7","4","1","1","7","7","6","2","2","7","1","7","7","6","7","2","3","1","6","2","6","1","1","1","6","Die leichte Handhabe, die meisten Funktionen waren intuitiv. Es warzwarnur ein Teststrecke, aber ich habe ich die meiste Zeit sicher und gut aufgehoben gefühlt bei dem System. ","Wenn ichvomautonomen in die manuelle Stufe schalten sollte war nicht immer ein Warnton das hat mich etwas verunsichert. Und ich wusste nicht genau wie ich dorthin schalten kann und soll (bremse, lenken, Schalter am Lenkrad) ","Immer wenn von einer höheren in eine niedrigere Stufe geschalten werden soll würde ich mir einauffälligeres Zeichen wünschen (von autonem runter immer mit Ton, gerne verschiedene Warntöne bei verschiedenen gefahrenstufen und ein assistierten ein Leuchten am Lenkrad) ","","1","1",""
"51","2020-10-16 16:04:51","1","de","","2020-10-16 15:53:28","2020-10-16 16:04:51","71","LC_HMI","2020-10-16 15:53:38","Stimme voll zu - 7","Stimme gar nicht zu - 1","Stimme voll zu - 7","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme voll zu - 5","7","7","2","1","1","7","7","7","3","7","7","2","7","7","1","7","2","6","1","7","1","7","1","1","1","3","Es war einfach und aufgeräumt. ","Warnhinweise wäre nicht immer so schnell zu erkennen. ","Warnhinweise größer projizieren + Signalton, wenn das System nicht mehr funktioniert. ","Sehr leicht verständlich und es hat Spaß gemacht damit zu fahren. ","1","1","Gerne wieder. "
"52","2020-10-19 10:12:48","1","de","","2020-10-19 10:06:59","2020-10-19 10:12:48","23","HC_HMI","2020-10-19 10:07:07","Stimme voll zu - 7","Stimme gar nicht zu - 1","6","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme voll zu - 5","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","Stimme voll zu - 5","7","6","1","1","1","7","7","5","1","3","6","2","7","7","5","7","3","4","2","7","1","7","1","1","2","6","Den Unterschied der fahrmodi zu erkennen","Ka","Den Unterschied für den Nutzer klar erkennbar machen","Ka","1","1","Viel erfolg"
"53","2020-10-19 12:12:32","1","de","","2020-10-19 11:51:30","2020-10-19 12:12:32","24","HC_HMI","2020-10-19 11:51:37","5","Stimme gar nicht zu - 1","6","2","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","2","4","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","4","7","6","2","2","1","7","7","7","2","1","7","1","6","6","7","7","1","4","2","7","2","5","2","1","2","7","Durch hohes piepen wurde man gut alarmiert, als das automatisierte fahren nicht mehr ging und man selbst wieder das fahren übernehmen müsste. Auch die anzeigeim Display war übersichtlich gewesen. Die 2 Knöpfe waren gut positioniert und gut einsehbar. Der Wechsel zwischen den Fahrweisen war so schnell möglich. Die kleinen Bilder, ob die Hände am Steuer sein müssen, waren gut. Auch die vers. Farbgebung von den 3 vers Möglichkeiten war gut,. ","Es stand viel text da, wenn assistieren es und automatisiertes fahren verfügbar war. Allerdings braucht man nu beim 1. Mal lesen etwas länger. Danach weiß man ja, was dasteht. Dies könnte aber auchdazu führen, solche längeren Texte nur noch zu überfliegen und so wichtige Infos zu verpassen. Die beiden Knöpfe schienen anfangs nicht viel Sinn zu machen. Ichhatte 3 Knöpfe für die 3 vers. Zu finden. Nach 3maliger Benutzung haben die 2 Knöpfe dann aber Sinn gemacht","Farbgebung der 3 vers Fahrstile gern unterschiedlicher zB gelb grün lila. Das bisherige Weiß gruen hellblau war sehr ähnlich. Und weniger Text, wenn alle Stufen verfügbar sind. ","Sehr übersichtlich. Nach kurzer Zeit einfach zu bedienen. ","1","1","Sehr spannend und interessant, besonders das automatisierte fahren. Schwierig, ganz auf das Auto zu vertrauen "
"54","2020-10-19 17:29:02","1","de","","2020-10-19 17:07:28","2020-10-19 17:29:02","72","LC_HMI","2020-10-19 17:07:33","Stimme voll zu - 7","Stimme gar nicht zu - 1","2","2","Stimme voll zu - 5","2","3","2","2","Stimme gar nicht zu - 1","Stimme voll zu - 5","2","2","3","4","Stimme voll zu - 5","6","4","1","3","1","7","7","7","2","3","6","1","3","6","7","6","2","2","3","7","2","3","1","1","1","7","Ich empfinde es als sehr angenehm, wenn Funktionen wie Tempoeinstellungen vorhanden sind, Abstandhalten,...... Insbesondere bei Stopp and Go Fahrten oder langen Strecken. ","Ich habe noch keinen richtigen Überblick bekommen,fuer mich war sehr vieles neu. Bin z. B. Gangschaltung gewohnt, älteres Auto,....dadurch war ich noch sehr mit der Fahrpraxis beschäftigt. Das hat mir nicht gefallen. ","Nein. ","Nein. ","1","1","Nein. "
"55","2020-10-20 09:58:08","1","de","","2020-10-20 09:50:55","2020-10-20 09:58:08","25","HC_HMI","2020-10-20 09:51:03","6","Stimme gar nicht zu - 1","Stimme voll zu - 7","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","Stimme voll zu - 5","6","7","3","1","2","6","6","6","3","3","7","1","6","6","6","7","2","3","2","6","1","6","1","2","2","6","Übersichtlichkeit, Verständlichkeit, Einfachheit","","","","1","1",""
"56","2020-10-20 12:42:25","1","de","","2020-10-20 12:11:56","2020-10-20 12:42:25","26","HC_HMI","2020-10-20 12:12:04","5","2","6","3","3","3","4","3","4","2","4","2","3","2","3","4","5","6","4","2","2","6","6","4","3","4","4","3","6","5","6","5","4","4","3","5","2","4","4","3","4","6","Wenn man etwas erl. Muss sich einen Assistenten nehmen kann ohne unaufmerksam zu werden. ","Da ich so etwas nicht kannte. Alles ungewohnt und man muss erst ein Gefühl dafür bekommen. Anfangs Etwas mulmig ob tatsächlich sicher Wim automatisierte Fahren. War sehr stark auf das Bediniungsfeld fixiert achtesonst mehr auf die Strecke. ","Vlt.  mehr akustische Signale da man dadurch nicht zu viel auf die Anzeigen schaut. Anzeigen konnten etwas länger bleiben. ","Interessante Erfahrung die ich positiv empfinde. ","1","1","Find ich gut um unterschiedliche Eindrücke mit einbringen zu können. Gut gemacht. "
"57","2020-10-20 15:26:21","1","de","","2020-10-20 15:15:00","2020-10-20 15:26:21","27","HC_HMI","2020-10-20 15:15:08","Stimme voll zu - 7","4","Stimme voll zu - 7","Stimme gar nicht zu - 1","3","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme voll zu - 5","Stimme voll zu - 5","2","Stimme voll zu - 5","Stimme gar nicht zu - 1","3","2","2","4","5","1","5","7","7","3","1","2","6","5","1","7","1","1","2","1","5","4","6","3","2","3","7","5","4","1","","","","","1","1",""
"58","2020-10-20 17:03:16","1","de","","2020-10-20 16:56:16","2020-10-20 17:03:16","28","HC_HMI","2020-10-20 16:56:25","5","Stimme gar nicht zu - 1","Stimme voll zu - 7","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","3","2","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","2","Stimme voll zu - 5","Stimme voll zu - 5","5","6","2","1","6","3","4","7","2","3","5","3","6","3","5","6","1","6","4","5","2","5","3","6","3","4","Nur zwei Bedienelemente, um zwischen den Level zu wechseln. Nicht überladen. Klar und strukturiert. ","Icons nicht mittig. Kein einheitliches farbschema zwischen Text und icon der unterschiedlichen Level. ","Design anpassen. Mit auditiven Feedback arbeiten. ","","1","1",""
"59","2020-10-22 10:12:45","1","de","","2020-10-22 10:03:08","2020-10-22 10:12:45","29","HC_HMI","2020-10-22 10:03:16","5","Stimme gar nicht zu - 1","6","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","4","2","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","Stimme voll zu - 5","6","6","6","1","1","6","6","5","1","6","7","2","7","7","5","6","2","3","2","6","2","6","1","2","2","6","Bedienung, allerdings switch zu manuellem fahren durchaus verwirrend beim ersten mal","Hatte mir gewünscht immer klar zu sehen welche Modi zur Verfügung stehen bspw durch farblich markierte icons","Haptische Warnung, bspw vibrieren, ","","1","1","Sehr interessante Studie und ich habe gerne mitgemacht"
"60","2020-10-22 12:16:25","1","de","","2020-10-22 12:06:40","2020-10-22 12:16:25","30","HC_HMI","2020-10-22 12:06:50","Stimme voll zu - 7","Stimme gar nicht zu - 1","Stimme voll zu - 7","2","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","3","4","Stimme gar nicht zu - 1","3","Stimme gar nicht zu - 1","4","4","4","Stimme voll zu - 5","7","6","3","2","1","5","7","7","1","6","7","1","7","7","7","7","2","4","1","7","1","6","1","1","1","7","Alles","Nichts","Akustische unterstützen muss sein","Nein","1","1","Nein, dankeschön "
"61","2020-10-22 15:31:52","1","de","","2020-10-22 15:19:22","2020-10-22 15:31:52","31","HC_HMI","2020-10-22 15:19:31","5","Stimme gar nicht zu - 1","6","2","3","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","4","2","3","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","4","7","7","1","1","1","7","7","3","2","2","7","1","6","7","7","7","3","4","1","6","1","6","1","1","1","6","Was neues ausprobieren","Ablenkung durch Tabletne","Nein","War interessant","1","1","Unterschied zum assistierten fahren besser vorher erklaeren"
"62","2020-10-22 17:01:39","1","de","","2020-10-22 16:56:18","2020-10-22 17:01:39","73","LC_HMI","2020-10-22 16:56:27","5","2","6","Stimme gar nicht zu - 1","3","2","4","Stimme gar nicht zu - 1","3","2","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","2","3","Stimme voll zu - 5","7","5","1","2","1","7","7","2","4","1","6","3","6","5","7","6","3","4","2","7","2","6","2","1","2","7","Es war eine ganz neue Erfahrung und leicht zu bedienen","Etwas unsicher gefühlt, weil es ungewohnt war","Keine","","1","1","Super interessant und innovativ, sowie sinnvoll"
"63","2020-10-23 09:55:52","1","de","","2020-10-23 09:50:04","2020-10-23 09:55:52","74","LC_HMI","2020-10-23 09:50:12","4","4","4","4","4","2","3","3","3","3","3","3","3","3","2","4","4","4","4","3","3","5","6","3","4","5","5","3","4","5","5","5","4","4","4","5","4","4","4","3","3","5","","","","","1","1",""
"64","2020-10-23 12:45:52","1","de","","2020-10-23 12:18:03","2020-10-23 12:45:52","32","HC_HMI","2020-10-23 12:18:11","5","Stimme gar nicht zu - 1","5","2","3","2","4","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","3","Stimme gar nicht zu - 1","3","3","5","6","5","2","3","5","5","3","4","3","6","3","6","5","7","5","3","3","3","5","2","6","2","3","2","3","Entlastung bei Funktion","Spurabweichung, Konsequenzen ein Nichtfunktion","Nein","FEHLERQUOTE  ","1","1","Zuverlässigkeit? Einsatztauglich bei welchen Geschwindigkeiten? Reaktionszeiten? usw. "
"65","2020-10-23 15:43:02","1","de","","2020-10-23 15:31:28","2020-10-23 15:43:02","75","LC_HMI","2020-10-23 15:31:41","4","4","6","4","3","2","4","2","4","3","4","2","Stimme gar nicht zu - 1","2","Stimme gar nicht zu - 1","Stimme gar nicht zu - 1","5","2","6","2","3","3","7","4","4","7","5","4","5","4","2","5","5","5","2","6","6","7","6","4","4","2","Unterschiede in den Farben","Sehr koventionell","Nein","Unsicher in welchem Modus man sich befindet","1","1",""
"66","2020-10-26 09:57:11","1","de","","2020-10-26 09:51:45","2020-10-26 09:57:11","33","HC_HMI","2020-10-26 09:51:00","5","Stimme gar nicht zu - 1","5","2","4","2","4","3","4","2","4","2","4","2","3","4","6","6","3","2","2","6","6","4","2","5","5","2","7","5","6","6","2","2","2","6","3","6","3","2","3","5","Die lesbarkeit","","","","1","1",""
"67","2020-10-26 12:09:25","1","de","","2020-10-26 11:59:53","2020-10-26 12:09:25","76","LC_HMI","2020-10-26 12:00:01","5","Stimme gar nicht zu - 1","Stimme voll zu - 7","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme voll zu - 5","7","7","5","7","1","6","7","4","5","2","7","2","7","6","5","7","1","6","2","6","1","7","4","2","2","6","Die gesamte Erfahrung war sehr erfrischend ","","Mit dem visuellen Reiz von begin an ein akustisches Signal kombinieren. ","","1","1","Gefällt mir sehr gut. Hatte das Gefühl in kompetenten Händen zu sein. "
"68","2020-10-27 12:02:51","1","de","","2020-10-27 11:56:57","2020-10-27 12:02:51","34","HC_HMI","2020-10-27 11:57:10","6","Stimme gar nicht zu - 1","Stimme voll zu - 7","2","3","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","3","3","7","7","3","1","4","5","7","6","1","4","6","2","7","5","7","7","3","1","2","4","1","4","1","2","1","7","Schnelle erlernung der Bedienung und Funktionsweise, simple display Gestaltung, ","Alarm und zwischenmeldungen könnten ablenken oder zunächst verwirren ","Sprachassistent (verbale steuerung) ","","1","1",""
"69","2020-10-27 14:39:21","1","de","","2020-10-27 14:32:35","2020-10-27 14:39:21","34","HC_HMI","2020-10-27 14:32:46","5","Stimme gar nicht zu - 1","6","Stimme gar nicht zu - 1","3","2","3","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","3","2","3","3","2","4","5","5","4","3","4","5","5","4","3","6","6","2","5","6","5","5","2","3","2","5","5","4","5","3","4","3","Klare Trennung Dr Stufen durch symbole","Zu lange textbloecke bei Fehlermeldungen oder uebernahmeaufforderungen","Text reduzieren, multimodale Ansprache des Fahrers","","1","1",""
"70","2020-10-27 17:02:51","1","de","","2020-10-27 16:54:27","2020-10-27 17:02:51","77","LC_HMI","2020-10-27 16:54:36","Stimme voll zu - 7","Stimme gar nicht zu - 1","6","2","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme voll zu - 5","6","2","1","1","2","7","7","5","2","1","7","2","7","7","7","5","2","3","3","6","4","7","2","1","1","7","Einfacher Wechsel zwischen Fahrstufen. Sichere Steuerung im assistierten und automatisierten Fahren. ","Unübersichtlich und still, wenn der Fahrer die Steuerung übernehmen soll. ","Auffälliger, wenn neuen Fahrstufen verfügbar/ nicht mehr verfügbar sind und wenn der Fahrer übernehmen soll. ","Hat spaß gemacht :) ","1","1","Sehr gute Begleitung während den Versuchen. "
"71","2020-10-29 09:49:55","1","de","","2020-10-29 09:41:50","2020-10-29 09:49:55","78","LC_HMI","2020-10-29 09:42:02","5","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","Stimme voll zu - 5","3","3","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","Stimme voll zu - 5","2","Stimme voll zu - 5","Stimme voll zu - 5","7","7","1","3","1","7","7","7","2","1","7","1","6","7","7","7","1","1","1","7","1","7","2","1","1","7","Anzeige, Beim Fahren sehr unterstützend","Die Umschaltung zwischen den Fahrstufen","Jeder Modus mit separaten Schalter aktivierbar","Tolles Unterstützungssystem","1","1","Toll"
"72","2020-10-29 12:36:42","1","de","","2020-10-29 12:24:10","2020-10-29 12:36:42","79","LC_HMI","2020-10-29 12:24:19","4","3","3","4","3","3","3","3","2","3","3","2","3","3","3","3","5","4","4","4","3","5","5","3","4","3","5","3","4","6","6","6","4","4","4","5","3","5","3","3","3","5","Einfach Handhabung","Habe die unterschiedliche Stufen nicht genau erkenne können. Hätte mir vorher jemand erklären müssen. ","Bessere Erkennung in welcher Stufe ich mich befinde. ","Nein","1","1","Keine"
"73","2020-10-29 14:43:03","1","de","","2020-10-29 14:29:02","2020-10-29 14:43:03","36","HC_HMI","2020-10-29 14:29:12","5","Stimme gar nicht zu - 1","5","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","3","2","Stimme voll zu - 5","2","4","2","4","Stimme gar nicht zu - 1","3","4","6","6","2","2","2","6","7","5","2","5","7","1","6","6","5","6","2","2","2","6","2","6","2","2","2","6","Ja, ea war eine interessante Erfahrung.","Es war soweit in Ordnung, die Geschwindigkeit hätte höher sein können. ","Mehr Kurven und Hindernisse wären in dieser Testreihe interessant. ","Nein","2","1","Ich finde die Studie sehr gut, vielleicht irgendwann mit mehr Hindernissen und Kurven. "
"74","2020-10-29 16:56:38","1","de","","2020-10-29 16:50:41","2020-10-29 16:56:38","37","HC_HMI","2020-10-29 16:50:49","3","2","5","3","2","Stimme gar nicht zu - 1","4","3","4","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","2","3","Stimme gar nicht zu - 1","3","4","5","5","3","5","5","5","1","3","3","7","4","6","3","7","4","6","2","5","7","5","5","1","5","6","7","Lichtsignale und töne","","","","1","1",""
"75","2020-10-30 10:24:14","1","de","","2020-10-30 10:07:41","2020-10-30 10:24:14","80","LC_HMI","2020-10-30 10:07:49","4","2","4","2","Stimme voll zu - 5","2","3","Stimme gar nicht zu - 1","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme voll zu - 5","Stimme gar nicht zu - 1","3","Stimme gar nicht zu - 1","4","Stimme voll zu - 5","5","3","4","1","1","4","6","4","3","4","6","2","6","5","3","6","3","3","3","6","2","5","2","1","2","5","Erst mal nichts neues","Nicht klar bei Assistent. Welches eingeschaltet ist   und warum überhaupt zwei systeme","Einschaltknopf nicht erforderlich.   Nur ein System ","Verwirrend. Die zwei systeme","1","1","Kurvenfahrt vermisst.        Höheregeschwindikeit.    Mehr lenkbewegungen eingriffe"
"76","2020-10-30 12:01:01","1","de","","2020-10-30 11:55:38","2020-10-30 12:01:01","38","HC_HMI","2020-10-30 11:55:48","6","Stimme gar nicht zu - 1","4","2","3","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","2","4","3","4","5","3","2","2","4","6","3","4","7","7","1","4","4","4","7","2","5","1","7","2","7","2","4","4","2","Die gewohnte steuerung","Eher die Unklarheit am Anfang, diese hatsichaber schnell gelegt","Ich denke die Funktionalität passt bereits und würde für den test angepasst","Nein","1","1","Nein passt"
"77","2020-10-30 14:59:48","1","de","","2020-10-30 14:48:57","2020-10-30 14:59:48","81","LC_HMI","2020-10-30 14:49:07","6","Stimme gar nicht zu - 1","Stimme voll zu - 7","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","Stimme voll zu - 5","7","7","3","1","2","6","6","7","1","6","6","1","7","6","7","7","2","1","4","6","1","4","1","2","1","5","Eigentlich unauffällig integriert aber nicht versteckt","Die Warnhinweise (Notbremsung) sind meiner Meinung nach zu unauffällig ","GEFAHRENHINWEISE vielleicht etwas auffälliger anzeigen","","1","1","Nein"
"78","2020-10-30 17:19:13","1","de","","2020-10-30 17:10:30","2020-10-30 17:19:13","82","LC_HMI","2020-10-30 17:10:37","3","Stimme gar nicht zu - 1","6","4","2","2","4","Stimme gar nicht zu - 1","4","4","3","2","Stimme gar nicht zu - 1","2","2","2","5","3","4","2","3","5","6","1","2","3","4","4","4","5","5","5","6","5","3","2","6","2","2","3","3","4","","Signalisierungen viel deutlicher","","","1","1",""

