"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","Instruktion","Alter","Geschlecht","Nation[1]","Nation[other]","NationGeb","NationGeb2","Erfahrung","KmJahr","Vorwissen[VorwissenAut]","FAS[CC]","FAS[ACC]","FAS[LKA]","FAS[None]","OftCC","AutomarkeCC[Audi]","AutomarkeCC[BMW]","AutomarkeCC[Buic]","AutomarkeCC[Cadi]","AutomarkeCC[Chev]","AutomarkeCC[Dodg]","AutomarkeCC[Ford]","AutomarkeCC[Hyun]","AutomarkeCC[Jeep]","AutomarkeCC[Fiat]","AutomarkeCC[Kia]","AutomarkeCC[Land]","AutomarkeCC[Lexu]","AutomarkeCC[Mazd]","AutomarkeCC[Merc]","AutomarkeCC[Niss]","AutomarkeCC[Opel]","AutomarkeCC[Peug]","AutomarkeCC[Pors]","AutomarkeCC[Rena]","AutomarkeCC[Seat]","AutomarkeCC[Skod]","AutomarkeCC[Suba]","AutomarkeCC[Tesl]","AutomarkeCC[Toyo]","AutomarkeCC[VW]","AutomarkeCC[Volv]","AutomarkeCC[other]","OftACC","AutomarkeACC[Audi]","AutomarkeACC[BMW]","AutomarkeACC[Buic]","AutomarkeACC[Cadi]","AutomarkeACC[Chev]","AutomarkeACC[Dodg]","AutomarkeACC[Ford]","AutomarkeACC[Hyun]","AutomarkeACC[Jeep]","AutomarkeACC[Fiat]","AutomarkeACC[Kia]","AutomarkeACC[Land]","AutomarkeACC[Lexu]","AutomarkeACC[Mazd]","AutomarkeACC[Merc]","AutomarkeACC[Niss]","AutomarkeACC[Opel]","AutomarkeACC[Peug]","AutomarkeACC[Pors]","AutomarkeACC[Rena]","AutomarkeACC[Seat]","AutomarkeACC[Skod]","AutomarkeACC[Suba]","AutomarkeACC[Tesl]","AutomarkeACC[Toyo]","AutomarkeACC[VW]","AutomarkeACC[Volv]","AutomarkeACC[other]","OftLKA","AutomarkeLKA[Audi]","AutomarkeLKA[BMW]","AutomarkeLKA[Buic]","AutomarkeLKA[Cadi]","AutomarkeLKA[Chev]","AutomarkeLKA[Dodg]","AutomarkeLKA[Ford]","AutomarkeLKA[Hyun]","AutomarkeLKA[Jeep]","AutomarkeLKA[Fiat]","AutomarkeLKA[Kia]","AutomarkeLKA[Land]","AutomarkeLKA[Lexu]","AutomarkeLKA[Mazd]","AutomarkeLKA[Merc]","AutomarkeLKA[Niss]","AutomarkeLKA[Opel]","AutomarkeLKA[Peug]","AutomarkeLKA[Pors]","AutomarkeLKA[Rena]","AutomarkeLKA[Seat]","AutomarkeLKA[Skod]","AutomarkeLKA[Suba]","AutomarkeLKA[Tesl]","AutomarkeLKA[Toyo]","AutomarkeLKA[VW]","AutomarkeLKA[Volv]","AutomarkeLKA[other]","VSM01[VSM01]","VSM01[VSM02]","VSM01[VSM03]","VSM01[VSM04]","VSM01[VSM05]","VSM01[VSM06]","VSM01[VSM07]","VSM01[VSM08]","VSM01[VSM09]","VSM01[VSM10]","VSM11[VSM11]","VSM11[VSM12]","VSM11[VSM13]","VSM11[VSM14]","VSM15[VSM15]","VSM15[VSM16]","VSM17[VSM17]","VSM18[VSM18]","VSM19[VSM19]","VSM20[VSM20]","VSM21[VSM21]","VSM21[VSM22]","VSM21[VSM23]","VSM21[VSM24]","UsabFaktor[1]","UsabFaktor[2]","UsabFaktor[3]","UsabFaktor[4]","UsabFaktor[5]","UsabFaktor[6]","UsabFaktor[7]","UsabFaktor[8]","UsabFaktor[9]","UsabFaktor[10]","UsabFaktor[11]","UsabFaktor[12]","UsabFaktor[13]","UsabFaktor[14]","UsabFaktor[15]","UsabFaktor[16]","UsabFaktor[17]","UsabFaktor[18]","UsabFaktor[19]","UsabFaktor[21]","UsabFaktor[22]","UsabFaktor[23]","UsabFaktor[24]","UsabFaktor[25]","Ausschluss","TPComments"
"5","2022-01-26 14:13:49","4","de","392421266","2022-01-26 14:07:12","2022-01-26 14:13:49","","27","1","Y","","N","","2","0","3","Y","Y","Y","","0","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","1","Y","Y","","","","","","","","","","","","","","","","","","","","","","","","Y","","","1","Y","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","2","2","1","2","3","1","2","3","1","4","2","2","2","2","4","1","3","3","1","2","4","4","3","6","6","5","6","6","6","2","2","1","6","0","0","6","6","0","0","0","6","6","6","0","3","6","",""
"7","2022-01-27 17:05:09","4","de","1715408023","2022-01-27 16:54:27","2022-01-27 17:05:09","","26","0","Y","","N","","3","1","4","Y","Y","Y","","1","Y","Y","","","","","Y","","","","","","","","","","","Y","Y","","","Y","","Y","","Y","Y","","1","","Y","","","","","Y","","","","","","","","","","","","Y","","","","","Y","","","Y","","1","","Y","","","","","Y","","","","","","","","","","","","Y","","","","","Y","","","Y","","2","3","1","2","1","2","3","3","3","3","2","4","1","4","4","1","4","1","1","4","2","2","4","4","6","6","6","6","5","6","5","5","4","5","6","4","3","6","6","5","0","0","6","6","6","3","5","6","",""
"9","2022-01-27 17:25:42","4","de","743815756","2022-01-27 17:15:09","2022-01-27 17:25:42","","27","1","Y","","N","","3","2","3","Y","Y","Y","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mini","0","","Y","","","","","","","","","","","","","","","","","","","","","","","","","Y","","0","","Y","","","","","","","","","","","","","Y","","","","","","","","","","","","Y","","1","2","2","2","2","1","2","1","2","1","1","4","2","4","3","2","3","1","3","4","2","3","3","3","5","5","6","5","5","6","4","3","4","4","5","2","2","4","6","4","4","2","6","5","5","2","4","6","",""
"10","2022-01-27 17:25:29","4","de","1985178200","2022-01-27 17:16:15","2022-01-27 17:25:29","","25","1","Y","","N","","3","2","3","Y","Y","Y","","0","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","0","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2","2","2","3","3","2","4","4","3","4","5","3","3","1","3","2","2","3","4","1","1","4","3","4","2","5","5","2","4","4","2","1","3","4","0","0","5","5","1","0","0","4","4","4","1","0","4","",""
"11","2022-01-27 20:09:05","4","de","1869449408","2022-01-27 19:51:13","2022-01-27 20:09:04","","69","0","Y","","N","","2","1","3","Y","Y","Y","","5","","Y","","","","","","","","","","","","","Y","","Y","","","","","","","","","","","","5","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","2","2","2","2","1","2","1","2","3","3","2","4","2","4","3","2","4","3","4","4","4","2","1","2","5","6","5","5","6","5","5","4","6","6","5","5","4","4","5","5","6","5","5","6","4","3","4","6","",""
"12","2022-01-27 20:15:18","4","de","1538844217","2022-01-27 19:58:54","2022-01-27 20:15:18","","71","0","Y","","N","","3","1","3","Y","Y","Y","","2","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","Januar ","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","Jaguar ","1","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","Jaguar ","3","2","2","2","2","1","2","1","3","2","2","5","3","5","5","1","4","2","5","3","3","3","1","2","5","5","6","6","6","5","3","1","6","5","6","3","3","5","5","3","5","3","3","6","6","0","5","5","",""
"13","2022-01-27 20:05:25","4","de","1068735821","2022-01-27 19:59:21","2022-01-27 20:05:25","","50","0","Y","","N","","3","1","2","Y","Y","Y","","3","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","3","2","1","1","2","2","2","3","3","2","4","2","5","4","2","4","2","3","2","2","2","4","4","5","5","6","6","5","5","6","5","5","6","6","3","4","6","5","6","5","5","6","5","6","5","5","6","",""
"15","2022-01-27 21:00:17","4","de","77717754","2022-01-27 20:15:00","2022-01-27 21:00:17","","56","0","","Serbisch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Ich kenne die Hintergrunde Ihrer Forschung leider nicht, das klingt aber diskriminierend. Ich bin schon lange in Deutschland und ich habe viel von der deutschen Kultur übernommen. Anderseits, bin ziemlich sicher, dass ich sowieso die durchschnittlichen kulturellen Werte weit überschreite.

Oder, sagen wir so: die kulturellen Werte kennen keine Nationalitätsangehörigkeit, oder..? Wenn ich den deutschen Pass hätte, was wäre ich dann? Der Deutsche oder der Serbe? Wären dann meine kulturellen Werte plötzlich anders, besser..?

Wünsche Ihnen viel Erfolg in Ihrer Forschung."
"16","2022-01-27 20:41:18","4","de","1647164042","2022-01-27 20:33:23","2022-01-27 20:41:18","","70","0","Y","","N","","4","2","0","Y","","","","2","","","","","","","","","","","","","","","","","","Y","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","5","4","3","3","1","2","3","2","4","4","4","2","4","4","2","4","2","2","3","4","2","4","4","4","6","6","5","5","6","5","4","5","4","6","3","1","4","5","5","0","0","5","5","5","0","5","4","",""
"17","2022-01-27 21:46:44","4","de","262030954","2022-01-27 21:23:51","2022-01-27 21:46:44","","69","0","Y","","N","","3","1","3","Y","Y","Y","","4","","","","","","","","","","","","","","","","","","","","","","","","","Y","Y","","","4","","","","","","","","","","","","","","","","","","","","","","","","","Y","Y","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","3","3","4","3","3","2","3","3","4","4","3","4","3","3","3","2","4","2","3","3","1","2","2","3","4","4","6","5","6","6","5","4","5","5","6","3","1","5","5","4","5","3","5","5","5","1","4","6","","Nein"
"19","2022-01-27 23:43:18","4","de","1228257993","2022-01-27 23:33:06","2022-01-27 23:43:18","","77","0","Y","","N","","3","1","1","Y","Y","Y","","5","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","0","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","2","3","2","2","1","1","2","2","2","3","2","3","2","2","3","3","2","4","5","4","2","2","2","4","2","6","6","6","6","5","5","1","4","4","5","1","0","3","3","3","2","2","2","5","5","2","3","3","",""
"20","2022-01-28 00:16:41","4","de","459848495","2022-01-27 23:59:57","2022-01-28 00:16:41","","76","0","Y","","N","","4","2","3","Y","Y","Y","","3","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","Lexus","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lexus","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lexus","3","4","4","3","2","2","2","3","3","1","3","4","2","2","3","2","4","2","3","4","4","2","3","1","5","5","5","4","5","6","5","5","5","5","6","5","4","5","5","5","6","6","5","5","6","4","5","6","","Wichtig in meinem Leben war immer - meine Sache heute GUT zu machen, aber auch den absoluten Willen zu haben, es morgen BESSER zu machen! "
"22","2022-01-28 06:05:23","4","de","1651659662","2022-01-28 05:57:52","2022-01-28 06:05:23","","58","0","Y","","N","","4","2","0","Y","","","","1","","Y","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","5","3","5","4","2","5","2","2","5","2","2","4","1","3","4","3","1","4","4","3","2","4","2","6","3","6","6","6","6","6","6","5","5","5","6","4","6","6","6","3","3","2","2","5","0","1","1","",""
"24","2022-01-28 09:23:28","4","de","1901476963","2022-01-28 09:10:19","2022-01-28 09:23:28","","75","0","Y","","N","","3","1","3","Y","Y","Y","","3","Y","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","2","2","1","1","2","1","2","2","2","2","2","2","4","2","2","1","2","3","1","1","2","2","1","6","6","5","6","6","6","5","6","5","6","5","4","6","6","5","4","3","3","6","6","5","5","6","",""
"25","2022-01-28 09:24:28","4","de","1959232982","2022-01-28 09:20:00","2022-01-28 09:24:28","","71","0","Y","","N","","3","1","2","Y","","","","1","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","1","3","4","1","2","1","3","3","2","2","2","4","4","1","4","3","2","4","3","4","1","5","4","4","5","2","3","6","4","2","5","1","3","3","1","5","5","4","2","1","4","4","5","4","3","5","",""
"26","2022-01-28 09:25:36","4","de","1505528982","2022-01-28 09:20:52","2022-01-28 09:25:36","","27","0","Y","","N","","1","0","1","Y","","Y","","1","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","keine","1","1","1","3","2","1","1","2","1","1","1","3","2","2","3","1","3","1","4","3","2","2","3","3","6","5","6","3","5","6","6","4","6","6","6","1","4","4","3","3","3","3","5","5","6","3","4","5","","Viel Erfolg Deike! "
"27","2022-01-28 09:30:24","4","de","374593348","2022-01-28 09:21:38","2022-01-28 09:30:24","","27","0","Y","","N","","1","1","1","Y","Y","","","1","","","","","","","","","","","","","","Y","Y","","","","","","","","","","","Y","Y","","0","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","2","3","1","2","3","2","3","3","2","3","1","2","3","2","2","2","5","4","1","2","3","2","1","4","6","4","5","6","2","1","3","4","4","3","0","5","3","5","3","2","5","4","6","3","4","5","",""
"28","2022-01-28 09:37:02","4","de","222393642","2022-01-28 09:24:14","2022-01-28 09:37:02","","27","1","Y","","N","","1","0","0","Y","Y","","","1","Y","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","1","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","2","2","2","2","3","1","5","3","1","4","2","3","3","3","3","3","3","3","3","2","3","2","4","4","6","6","5","6","5","3","5","2","5","3","0","5","5","3","3","3","3","4","5","2","4","4","",""
"29","2022-01-28 09:33:50","4","de","609758888","2022-01-28 09:26:39","2022-01-28 09:33:50","","26","1","Y","","N","","1","0","0","","Y","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","1","","Y","","","","","","","","","","","","","","","","","","","","","","","","Y","","","3","2","2","4","3","1","1","3","4","3","3","4","2","3","2","3","3","2","3","4","3","3","4","3","4","5","6","4","5","6","6","2","4","4","6","2","2","5","4","2","3","3","6","5","5","2","3","4","",""
"30","2022-01-28 09:37:24","4","de","1059263686","2022-01-28 09:30:15","2022-01-28 09:37:24","","25","2","Y","","N","","4","1","1","Y","","Y","","1","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","1","2","2","2","2","3","3","2","4","4","1","4","2","2","3","2","4","2","3","3","2","2","1","2","5","6","6","6","6","6","6","3","6","6","6","2","3","6","6","3","1","3","5","6","6","3","3","6","",""
"31","2022-01-28 09:37:16","4","de","369776990","2022-01-28 09:31:06","2022-01-28 09:37:16","","28","1","Y","","N","","1","0","0","Y","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","2","2","1","2","2","2","3","3","2","3","2","3","4","2","4","1","3","4","4","3","4","2","5","5","5","4","5","5","4","5","5","5","5","4","4","4","5","4","3","3","5","5","5","4","4","4","",""
"32","2022-01-28 09:56:25","4","de","1431604508","2022-01-28 09:44:30","2022-01-28 09:56:25","","31","0","Y","","N","","2","1","1","Y","","","","0","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","3","2","2","1","3","1","3","3","2","4","3","2","4","2","3","2","3","4","3","2","4","2","4","6","6","5","5","6","4","3","5","3","6","2","0","4","5","2","3","4","6","6","6","0","4","5","",""
"33","2022-01-28 12:37:55","4","de","283958090","2022-01-28 12:26:59","2022-01-28 12:37:55","","70","0","Y","","Y","Österreich","3","0","2","Y","Y","Y","","1","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","2","2","3","2","3","2","1","3","4","2","3","3","3","3","3","2","2","3","4","3","2","4","2","4","3","5","5","5","5","5","4","3","6","5","5","3","1","5","5","4","3","3","4","4","4","3","4","5","",""
"34","2022-01-28 15:26:37","4","de","872981851","2022-01-28 14:57:29","2022-01-28 15:26:37","","27","0","Y","","N","","4","3","0","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","2","2","2","3","3","2","2","1","2","2","1","4","2","2","3","2","3","1","4","4","1","3","4","2","5","6","6","6","5","6","4","4","5","5","5","4","3","6","6","3","3","5","5","6","3","0","2","5","","Viel Erfolg Deiki! "
"35","2022-01-28 15:26:48","4","de","841627049","2022-01-28 15:17:57","2022-01-28 15:26:48","","73","1","Y","","N","","3","1","0","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","2","3","4","3","3","2","2","2","3","4","4","3","4","4","2","3","2","3","3","1","2","3","4","2","5","4","4","4","4","3","3","4","3","3","4","3","4","4","4","4","3","5","5","4","3","4","5","","nein, noch nicht"
"36","2022-01-28 15:26:18","4","de","552177636","2022-01-28 15:18:14","2022-01-28 15:26:18","","75","0","Y","","N","","3","1","2","Y","","Y","","1","Y","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","4","3","2","2","3","1","2","2","2","1","3","3","2","2","4","2","4","2","2","4","2","2","1","2","4","5","6","5","6","6","5","6","6","4","5","6","4","5","5","6","5","4","5","5","6","4","6","6","",""
"38","2022-01-28 16:18:38","4","de","1189742976","2022-01-28 15:50:03","2022-01-28 16:18:38","","72","0","Y","","N","","4","2","1","Y","","Y","","5","","Y","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","2","5","4","1","1","2","3","2","2","3","3","3","3","3","4","2","4","3","2","3","3","2","4","3","4","4","4","4","4","4","4","2","4","5","5","5","5","2","4","5","5","4","5","5","4","4","5","5","",""
"39","2022-01-28 17:38:18","4","de","1181639249","2022-01-28 17:21:58","2022-01-28 17:38:18","","31","0","Y","","N","","1","0","3","Y","Y","Y","","1","Y","Y","","","","","","","","","","","","","","","","","","","","Y","","","","","","","2","Y","Y","","","","","","","","","","","","","","","","","","","","Y","","","","","","","1","Y","Y","","","","","","","","","","","","","","","","","","","","Y","","","","","","","2","2","2","3","1","2","2","2","3","2","2","4","2","2","4","2","3","2","3","3","3","2","3","3","5","5","5","5","5","5","3","2","3","4","5","2","2","5","5","1","1","2","5","4","5","2","4","4","",""
"41","2022-01-29 00:01:47","4","de","819482573","2022-01-28 23:45:02","2022-01-29 00:01:46","","30","0","Y","","N","","1","0","2","Y","","Y","","1","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","2","1","1","2","1","1","2","2","2","2","1","3","2","2","3","2","4","1","3","3","1","2","4","4","4","5","6","5","5","5","4","5","4","5","5","4","3","3","5","4","3","5","5","5","5","1","4","5","",""
"42","2022-01-29 02:03:13","4","de","885785851","2022-01-29 01:53:50","2022-01-29 02:03:13","","31","1","Y","","N","","2","0","0","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","1","3","1","3","4","2","3","2","3","3","2","3","2","3","4","2","2","3","3","0","6","6","6","6","6","6","3","4","4","5","3","2","5","5","4","3","0","5","5","5","2","4","5","",""
"43","2022-01-29 15:07:24","4","de","1588084647","2022-01-29 14:57:02","2022-01-29 15:07:24","","29","1","Y","","N","","3","1","1","Y","","","","0","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","3","3","2","3","2","2","2","3","4","2","4","2","3","3","3","3","1","4","2","4","3","4","4","3","5","6","5","6","5","4","2","4","2","5","2","0","4","5","4","3","2","4","5","5","1","4","6","",""
"44","2022-01-29 18:54:33","4","de","717741795","2022-01-29 18:43:31","2022-01-29 18:54:33","","70","0","Y","","N","","3","1","3","Y","","Y","","3","","Y","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","Y","","","","","","","","","","","","","Y","","","","","","","","","","","","","","1","2","1","1","2","1","1","1","1","2","2","3","2","2","3","1","4","1","1","3","1","2","1","2","4","4","6","6","6","6","6","6","6","6","6","6","4","3","4","6","6","5","5","6","6","2","6","6","",""
"45","2022-01-29 21:05:32","4","de","1007062060","2022-01-29 20:42:42","2022-01-29 21:05:32","","78","0","Y","","N","","3","2","0","Y","","","","0","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","2","3","3","1","2","1","2","3","1","2","2","3","4","3","3","3","2","4","1","2","3","4","0","5","5","2","6","5","3","3","4","5","5","3","2","5","5","4","3","4","5","4","5","0","5","6","","Nach der Angabe der Nationalität (deutsch) war es bei der Folgefrage (ob man bei der Geburt eine andere Nationalität hatte)  nicht möglich, die Antwort ""Nein"" anzuklicken."
"46","2022-01-30 18:32:10","4","de","1444981065","2022-01-30 18:24:30","2022-01-30 18:32:10","","66","0","Y","","N","","3","1","1","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","3","2","3","2","3","3","2","3","2","4","3","3","4","2","4","1","3","2","1","3","4","3","5","5","6","4","5","6","4","1","4","2","4","4","1","3","5","4","1","0","3","4","4","1","1","4","",""
"47","2022-01-31 08:42:51","4","de","1740696051","2022-01-31 08:35:10","2022-01-31 08:42:51","","49","0","Y","","N","","3","0","2","Y","Y","Y","","2","Y","Y","","","","","Y","","","Y","","","","","Y","","","","","","Y","Y","","","","Y","","","2","Y","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","3","Y","Y","","","","","","","","Y","","","","","Y","","","","","","","","","","","","","","1","5","1","5","1","1","2","1","1","2","1","4","2","3","4","2","4","1","2","4","4","4","4","4","6","5","5","4","4","5","3","0","4","4","5","1","1","5","4","1","1","4","4","5","5","1","4","5","",""
"48","2022-01-31 10:16:41","4","de","1047831741","2022-01-31 10:07:01","2022-01-31 10:16:40","","74","0","Y","","N","","3","2","2","Y","","Y","","4","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","2","3","3","2","3","3","3","1","2","2","2","2","3","1","4","2","2","4","1","3","4","4","5","6","3","5","6","6","5","5","4","4","5","2","3","6","5","4","4","2","5","5","6","4","4","3","",""
"49","2022-01-31 21:40:33","4","de","750805389","2022-01-31 21:32:15","2022-01-31 21:40:33","","31","0","Y","","N","","4","2","4","Y","Y","Y","","1","","","","","","","","Y","","","","","","","","","","","","Y","","","","","","","","","4","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","1","2","2","1","2","2","3","2","4","4","1","4","2","4","4","2","4","1","3","4","2","2","2","1","5","6","5","5","5","6","6","3","4","3","6","1","0","2","6","4","2","0","2","5","5","0","4","5","","Ich verbinde Nationalität und Stolz nicht miteinander, weder positiv noch negativ. Eine entsprechende Antwortmöglichkeiten wäre schon gewesen.
Viele der gefragten Eigenschaften des Systems wären gewünscht, aber vermutlich widersprechen sie sich leider manchmal auch."
"50","2022-02-01 15:01:41","4","de","1315022629","2022-02-01 14:45:55","2022-02-01 15:01:41","","73","0","Y","","N","","3","2","1","Y","","Y","","3","","Y","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","4","2","3","1","1","1","1","2","3","2","2","3","2","2","3","2","3","4","1","2","5","1","1","1","3","6","5","6","6","6","5","3","5","5","6","6","5","5","6","6","4","5","5","6","6","6","6","6","",""
"52","2022-02-09 10:22:37","4","de","1982232350","2022-02-09 10:14:04","2022-02-09 10:22:37","","80","0","Y","","N","","3","0","0","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","3","2","2","2","2","2","2","2","2","2","4","2","3","3","2","4","2","2","3","2","2","2","3","6","4","4","5","5","6","4","4","5","4","5","5","4","5","5","6","5","5","5","6","6","5","5","5","",""
"53","2022-02-09 14:34:36","4","de","1295369247","2022-02-09 14:33:52","2022-02-09 14:34:36","","52","0","","Österreich","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""

