"comparison","AV","call","est_intercept","est_Exp","est_HMI","est_Exp:HMI","stdErr_intercept","stdErr_Exp","stdErr_HMI","stdErr_Exp:HMI","z_intercept","z_Exp","z_HMI","z_Exp:HMI","p_intercept","p_Exp","p_HMI","p_Exp:HMI","Df_Exp","Df_HMI","Df_Exp:HMI","ChiSq_Exp","ChiSq_HMI","ChiSq_Exp:HMI","Df_ChiSq_Exp","Df_ChiSq_HMI","Df_ChiSq_Exp:HMI","p_ChiSq_Exp","p_ChiSq_HMI","p_ChiSq_Exp:HMI"
"12","LevelObserved_Rep","afex::mixed, AV ~ Exp * HMI + (1 | TC) + (1 | VP), data_23, LRT, binomial",3.897139161140377,0.3997131051977333,0.47758350014945294,-0.2801311305916302,0.4069145050461369,0.22602331909381898,0.2282301322086914,0.22649572090996012,9.577292312788188,1.7684595854988672,2.0925523528714223,-1.2368053995289032,9.962239019012309e-22,0.07698410283621554,0.03638913369788164,0.21615933701812498,5,5,5,3.00076940141912,4.424113954810878,1.5261972036820453,1,1,1,0.08322498461468829,0.03543450606349846,0.21668407509347146
"12","EmailsAllow_Observed","afex::mixed, AV ~ Exp * HMI + (1 | TC) + (1 | VP), data_23, LRT, binomial",-1.2211923494721153,-0.2884305579754539,-0.04979386505689597,0.13563144300587823,0.7219477122627933,0.11271442400950146,0.11150509467227085,0.1116926450885509,-1.6915246474631032,-2.5589498461274145,-0.4465613450510682,1.2143274330941707,0.09073664443684056,0.010498888704943674,0.6551918106693952,0.22462271391919852,5,5,5,6.017627658162269,0.1865114370715446,1.3714683677004587,1,1,1,0.014163673405641947,0.6658361185223656,0.24155975797928708
"12","HandsOffAllow_Observed","afex::mixed, AV ~ Exp * HMI + (1 | TC) + (1 | VP), data_23, LRT, binomial",-0.9468024118737668,-0.48276829729539283,-0.0562031232797069,0.07694154889877296,0.7113938586300543,0.11214145113123596,0.10909206874278617,0.10912459120751788,-1.33091170297287,-4.304994205313277,-0.5151898201895946,0.7050798362438424,0.18321806601164112,1.6699010658287147e-5,0.6064203818844145,0.4807605540193233,5,5,5,16.82659502685408,0.25071753367740257,0.4694557497517735,1,1,1,4.0955304650733565e-5,0.6165702925341785,0.49323765569352096
"12","LevelObserved_Instr","afex::mixed, AV ~ Exp * HMI + (1 | TC) + (1 | VP), data_23, LRT, binomial",3.2084566253339664,0.3295523613846367,0.5449909846751895,-0.26934640762149087,0.3940843417690342,0.16663357446961247,0.16832013739493898,0.16663423549020648,8.141548103462547,1.9777068482962559,3.23782402456366,-1.61639297488373,3.902554309666692e-16,0.04796178725222495,0.00120445077970234,0.10600937627957623,5,5,5,3.8127073275098837,10.506438302367087,2.6030120938766004,1,1,1,0.05086517199846942,0.0011895932723534753,0.10666082698473171
"12","AvailImplem_Rep","afex::mixed, AV ~ Exp * HMI + (1 | TC) + (1 | VP), data_23, LRT, binomial",2.213726808853964,0.2828056853512586,0.1408413434763337,-0.14051474445154166,0.44495726181059453,0.10619662794744565,0.10598715050702183,0.10598161273988176,4.975144803449199,2.6630382792494394,1.328853005317873,-1.3258407833103751,6.51988834014357e-7,0.007743860431491201,0.18389647077145876,0.18489244097431967,5,5,5,6.769391594330955,1.710002814372956,1.7014509612802158,1,1,1,0.009273444294982091,0.19098500534963683,0.19209833230031767
"12","AvailReasonCorrect","afex::mixed, AV ~ Exp * HMI + (1 | VP), data_23, LRT, binomial",0.9565858215230539,0.32735222334203273,-0.10920919705349068,-0.3225701328669084,0.24884314815345074,0.23129733112854453,0.23017837350824139,0.2313568051350594,3.844131649279606,1.4152875078359866,-0.4744546387611889,-1.3942539216799839,1.2098005078390257e-4,0.15698421618114636,0.6351757378838452,0.1632409400857473,4,4,4,2.014258311519143,0.22516122445574638,1.9556010396316879,1,1,1,0.15582740139370105,0.6351351535575639,0.16198456173614206
"12","TransProblems","afex::mixed, AV ~ Exp * HMI + (1 | VP), data_23, LRT, binomial",-2.3785806158855234,-0.29508286953796514,0.06742716579595653,-0.19296771632792517,0.19948338482349337,0.15415485473465337,0.154337454571668,0.15399897242007185,-11.923702908841937,-1.914197707531761,0.43688141665344177,-1.2530454800799322,8.90603303765204e-33,0.05559489857632812,0.6621973496570173,0.21018915563783622,4,4,4,3.6984119830412965,0.19158024283206032,1.5742611707754577,1,1,1,0.054464280973746976,0.6616046367598375,0.20958926597094416
"23","LevelObserved_Rep","afex::mixed, AV ~ Exp * HMI + (1 | TC) + (1 | VP), data_23, LRT, binomial",3.7611410642388075,-0.11297521150256332,0.7045002604717331,0.07376738538864983,0.40664728382233584,0.27284944429206315,0.27643944135764964,0.27299464239216176,9.249148374693313,-0.4140569602246744,2.5484795404439784,0.2702155058511428,2.2628839534676018e-20,0.6788323921963864,0.010819363297951587,0.7869944643201547,5,5,5,0.17026889749718066,6.494626728454136,0.0728234548752198,1,1,1,0.6798729404849033,0.010820101154649984,0.787269336375025
"23","EmailsAllow_Observed","afex::mixed, AV ~ Exp * HMI + (1 | TC) + (1 | VP), data_23, LRT, binomial",-0.9967458024185631,0.0049326700178233505,-0.17141191468036518,0.02358814111570491,0.6500764299231383,0.1373692259739626,0.13754685930339777,0.13735520493365158,-1.5332747912986373,0.03590811539375133,-1.2462074055959986,0.17173095935533705,0.12520816308563876,0.9713556248936412,0.21268826097311905,0.8636490453348091,5,5,5,0.0012232119064492508,1.4713143636730592,0.028338589351847077,1,1,1,0.9721001171599019,0.22513843118415777,0.8663152612361052
"23","HandsOffAllow_Observed","afex::mixed, AV ~ Exp * HMI + (1 | TC) + (1 | VP), data_23, LRT, binomial",-0.6582906440425524,0.07257337437780331,-0.061103354334183596,-0.051748831446450885,0.6147502634148978,0.12972572807134092,0.1297012559104857,0.12971258937203803,-1.0708261276470068,0.5594370172884484,-0.4711084245502953,-0.398949953099975,0.2842476165886736,0.575863503982629,0.6375633093281985,0.6899300809199593,5,5,5,0.3030343686220931,0.21449379317982675,0.1541008095146026,1,1,1,0.5819863679230713,0.6432677856920568,0.6946468816527659
"23","LevelObserved_Instr","afex::mixed, AV ~ Exp * HMI + (1 | TC) + (1 | VP), data_23, LRT, binomial",2.9600031759076737,0.06247725066953805,0.6276077509897641,0.20010135051178796,0.40248466863680993,0.20446458833708123,0.20600187342883536,0.2056009912258192,7.354325286309704,0.30556514053444683,3.046611861064337,0.9732509036982667,1.9189391375944992e-13,0.759935765517108,0.002314363468563391,0.330428617010096,5,5,5,0.09309399557389497,8.959041058560615,0.9582486632338032,1,1,1,0.7602800245224938,0.0027609977892555006,0.32762852059807457
"23","AvailImplem_Rep","afex::mixed, AV ~ Exp * HMI + (1 | TC) + (1 | VP), data_23, LRT, binomial",1.812576638438586,-0.02090625642765473,0.3916825236067236,-0.1319529391042063,0.38473694119175894,0.10834487732855674,0.10883407362150475,0.10841361076564482,4.711210295595632,-0.19296026672545238,3.598896104623343,-1.217125213082755,2.46249967351905e-6,0.8469900857945497,3.1957081937880193e-4,0.2235565790908138,5,5,5,0.03678669879082008,12.141210395441703,1.447666677606776,1,1,1,0.8478999761617263,4.931975638371295e-4,0.22890272312316692
"23","AvailReasonCorrect","afex::mixed, AV ~ Exp * HMI + (1 | VP), data_23, LRT, binomial",-0.2526485309035522,0.7991518437648957,0.39321771189726823,-0.20107407062109678,0.20550733111084848,0.2188814569200297,0.2090049866418268,0.20632005958340016,-1.2293893825484807,3.651071474989647,1.881379570005801,-0.9745735389331699,0.21892584915446126,2.6114854441727016e-4,0.0599203039519936,0.32977184459934,4,4,4,15.294740581977976,3.712728142236415,0.9695026974975463,1,1,1,9.19722271911756e-5,0.05399906310721748,0.32480423601749847
"23","TransProblems","afex::mixed, AV ~ Exp * HMI + (1 | VP), data_23, LRT, binomial",-2.377412824593394,0.3547224545496166,0.3406479356675719,-0.08907778309667769,0.20593040932848128,0.16529666582738872,0.16589950795763542,0.16521358793493982,-11.544738984134993,2.145974649724853,2.053339035547717,-0.5391674147997804,7.847934947949378e-31,0.031875001262564213,0.04003970748406954,0.5897713421886003,4,4,4,4.771499366394721,4.407201557810538,0.2932747717351276,1,1,1,0.028934615892927548,0.035787503627399894,0.5881295817589122
